EntrezGeneID1|EntrezGeneID2
26039|6597
57154|3309
6631|9775
9869|121504
1855|8312
9775|5978
10577|4864
6477|5932
55366|23310
1432|2004
56254|51322
11051|3066
1432|8945
246184|51434
7917|84292
5469|5469
10672|7046
26227|2885
2624|161882
55832|1832
5879|4627
2074|55832
9968|9412
3915|3912
4869|498
2885|2887
1499|5494
3275|6256
8454|6631
153090|8454
22955|8467
513|509
2288|10728
5499|5568
7319|1029
4627|54822
22976|10111
6492|3320
1017|3398
7157|2648
11060|1605
9113|10413
4090|23451
5747|1605
51160|613
11236|3638
51393|7442
8233|23451
5747|4193
7157|51741
3178|2969
6045|55759
5467|8202
3654|3315
996|996
1213|4790
4734|7322
9612|8202
10049|10013
9978|3312
166|55072
26270|3074
5566|1385
2885|6764
3320|5871
54984|7430
55759|55759
4851|5664
2549|5829
4778|5195
6714|4133
1020|351
27316|51340
54583|6478
5871|6416
4627|302
5130|9025
6631|10498
7322|115426
10014|27316
5914|6477
2040|2040
324|8658
57332|57332
10488|638
4087|23557
6500|26234
7322|23295
55743|6596
3717|3320
7324|11342
1213|409
5599|6464
3065|3320
3064|83737
5300|4303
64241|283
2885|5930
1022|2068
8945|51741
6478|6774
6045|2317
324|598
81559|7322
10013|4615
5595|6548
57154|3178
5747|4678
8452|7072
3981|1278
1432|4209
6478|8841
10987|56254
2771|5581
4086|2648
7322|26994
57154|7186
1017|9113
3065|8360
1147|8717
1051|1387
7184|10399
23640|7186
10987|6631
10399|6774
5594|7157
58|5879
1453|1855
4831|10856
1545|7363
2034|56897
4670|6636
10987|9097
10006|5296
6468|8454
7428|23032
3667|55023
57154|10188
2132|2132
23020|23020
1432|6774
51366|2932
514|93974
3958|5781
4824|7089
1191|5444
2185|6774
7428|4176
7531|3983
1432|5371
11315|204851
4038|25861
56302|6774
55366|4297
4790|5607
5581|6868
4193|57154
6777|351
1969|1213
58517|6625
2034|2010
1147|9043
1831|3065
10987|7186
3065|2969
5601|9031
26121|10291
3065|7428
5914|23411
24148|58517
26270|3187
6598|55636
27346|6814
83737|51429
29127|4294
5728|6231
6502|997
2261|5335
5530|6257
5594|6640
207|23327
5606|9479
29116|7334
3801|10540
79654|10892
4869|24148
1956|6850
939|56913
4163|10569
3065|3297
23291|10413
1196|672
10419|84844
166|6733
6050|283
5970|7052
408|8361
10755|613
79784|54623
9775|11168
10987|8365
4176|7337
1616|3276
672|23512
23327|79176
1832|5663
10728|7189
1454|5664
4615|4088
9344|5606
2771|4691
4331|2967
55832|8360
3685|7040
23411|4092
509|9551
3091|613
7414|10381
55294|55294
5467|5970
4851|51434
4214|10049
267|23295
8454|6434
51741|5914
5058|10472
2316|7532
6907|1499
7363|7923
1855|1499
4088|64219
1385|6722
1827|7189
6934|7248
23411|3309
1856|7126
7046|7040
7494|7494
23291|7832
1017|57591
10755|5578
7536|3187
6464|7175
1020|7917
5499|6502
4609|2033
