EntrezGeneID1|EntrezGeneID2
4790|79155
26039|6597
57154|3309
5879|23568
6631|9775
5300|81628
1855|8312
9775|5978
10206|396
10577|4864
5604|8837
3339|351
6477|5932
5310|87
55366|23310
149041|7327
6259|5591
1432|2004
56254|51322
11051|3066
1432|8945
246184|51434
55294|29079
7917|84292
5469|5469
10014|7037
7533|5062
10672|7046
26227|2885
6772|7852
2624|161882
396|226
55832|1832
5879|4627
3309|27000
2074|55832
7412|16
23405|3329
1287|22918
3915|3912
84687|5499
10905|11253
5335|5921
9516|23327
5894|598
4869|498
1650|3703
2885|2887
1499|5494
3275|6256
11051|55696
6729|6729
8454|6631
153090|8454
7879|57403
22955|8467
9146|90390
513|509
2288|10728
5499|5568
7319|1029
118|3398
4627|54822
22976|10111
4771|6895
6492|3320
1017|3398
2885|3329
4734|6189
7157|2648
3667|857
2734|5966
11060|1605
9113|10413
4090|23451
11034|25824
5747|1605
51160|613
11236|3638
51393|7442
4609|23085
10252|868
8452|4976
8233|23451
10938|5591
7415|51366
5921|309
7412|8775
5997|2776
5747|4193
7157|51741
4700|4722
7322|2060
3178|2969
14|10076
6045|55759
960|573
5467|8202
648|11171
3654|3315
7532|8451
996|996
56897|5424
7415|1019
1213|4790
1647|983
4734|7322
9612|8202
9218|4720
8451|8467
10049|10013
2023|3187
5970|8986
9978|3312
3476|79840
26574|1613
166|55072
10458|55971
2537|351
83737|857
26270|3074
5566|1385
2885|6764
3320|5871
54984|7430
5062|5683
6303|8525
6461|6714
5566|5705
6210|79084
55759|55759
4851|5664
2932|8517
2549|5829
4778|5195
3171|1832
3661|64750
6714|4133
1020|351
27316|51340
5516|3476
10325|64121
5333|801
5720|5696
6714|5295
54583|6478
5871|6416
2063|2063
26276|351
23133|55183
4627|302
26524|7533
5130|9025
4221|25942
124583|124583
6631|10498
7322|115426
7917|710
57154|3622
3265|8036
10014|27316
1788|4223
25836|5538
5914|6477
2040|2040
324|8658
23411|5906
57332|57332
10488|638
4087|23557
6500|26234
7322|23295
10458|55740
55743|6596
3717|3320
7324|11342
5603|7157
1213|409
5599|6464
8452|4722
3065|3320
3064|83737
5300|4303
2885|5930
51377|7295
10516|10516
6208|6223
1022|2068
2730|3665
8945|51741
7531|678
6478|6774
6045|2317
324|598
5591|5052
1937|4193
81559|7322
10013|22985
25855|351
9785|5696
6917|2962
10013|4615
83706|79753
5595|6548
79791|595
57154|3178
11218|23405
7415|5245
8452|7072
3965|10325
5108|55081
5245|6189
3981|1278
10856|29110
10014|3837
8764|7431
1288|351
8766|3064
1432|4209
5663|4846
6478|8841
5701|5693
6102|1454
10987|56254
2771|5581
4086|2648
7322|26994
57154|7186
1017|9113
1147|8717
1051|1387
7337|301
7184|10399
3301|4790
23640|7186
9146|25777
10987|6631
10399|6774
26058|6631
5594|7157
58|5879
4088|3727
1453|1855
208|9545
226|226
4831|10856
26270|5538
4086|58533
2034|56897
4670|6636
10987|9097
22920|55696
10006|5296
10987|81620
6809|6809
752|51474
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
23560|6189
2132|2132
23020|23020
1958|6647
444|5154
1432|6774
7415|79058
51366|2932
2113|3146
7532|673
514|93974
3958|5781
2113|2908
81542|7295
4824|7089
1788|130557
1191|5444
4651|805
2185|6774
156|5603
7428|4176
7531|3983
7132|9093
1432|5371
11315|204851
2034|25942
6257|7415
4038|25861
55366|4297
4223|6500
4790|5607
6376|1524
672|79035
6772|3326
5581|6868
4193|57154
6777|351
7412|2782
8837|868
1969|1213
58517|6625
2034|2010
1147|9043
4292|5887
1831|3065
2023|2171
10987|7186
2547|3064
6886|2547
3065|2969
498|6199
5601|9031
26121|10291
3065|7428
7251|4193
29116|81628
8517|22938
7059|222229
4683|3843
5914|23411
24148|58517
328|6418
26270|3187
29079|8878
81620|51433
3659|4193
27346|6814
83737|51429
8976|4690
29127|4294
5532|7942
5728|6231
6636|84967
9262|351
6502|997
3320|1019
8517|396
2261|5335
23580|10801
8682|8772
3621|7157
9531|51022
5530|6257
5594|6640
207|23327
5606|9479
29116|7334
9218|5245
23263|6194
2353|351
6789|9218
3801|10540
7013|28988
79654|10892
4869|24148
1956|6850
939|56913
9063|9063
23515|54476
4163|10569
8751|7525
1856|8878
3065|3297
23291|10413
1196|672
10419|84844
10155|5460
7186|10758
396|637
56652|6613
166|6733
1017|3146
5052|51
4772|8554
2081|9097
2335|5976
7186|9994
6050|283
472|10155
5295|1969
5970|7052
4193|55967
26227|6453
7415|6500
5966|6500
10755|613
79784|54623
23433|57120
9775|11168
9702|2171
5580|6944
7412|4627
4176|7337
166|11030
4830|983
23512|5339
1616|3276
8737|8517
3309|23636
672|23512
2826|2885
23327|79176
5716|8440
5594|1978
1832|5663
801|6249
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
2335|9775
4616|983
7094|9898
2771|4691
4331|2967
311|4282
6772|55832
4700|9519
1031|55183
3685|7040
2962|688
7919|9063
23411|4092
509|9551
8450|23348
3091|613
604|9170
7414|10381
55294|55294
5467|5970
4851|51434
975|6418
4214|10049
267|23295
7412|4691
8454|6434
51741|5914
5058|10472
2316|7532
6907|1499
1855|1499
9063|2908
60626|2775
4088|64219
1312|9156
1385|6722
2068|983
1827|7189
4436|8517
4728|11331
5290|6772
7187|329
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
29126|91949
7494|7494
4609|3837
23291|7832
1017|57591
4170|3312
7072|5094
5683|5682
2152|2152
2162|2335
10755|5578
1130|57060
7536|3187
6464|7175
1020|7917
23345|7040
