EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
5879|23568
1855|8312
10206|396
5604|8837
5310|87
55366|23310
149041|7327
1432|2004
56254|51322
11051|3066
1432|8945
246184|51434
7917|84292
5469|5469
10672|7046
26227|2885
55832|1832
5879|4627
2074|55832
23405|3329
3915|3912
84687|5499
5335|5921
9516|23327
4869|498
2885|2887
1499|5494
11051|55696
6729|6729
8454|6631
153090|8454
7879|57403
5499|5568
7319|1029
118|3398
4627|54822
6492|3320
2885|3329
10419|291
4734|6189
7157|2648
2734|5966
11060|1605
9113|10413
5747|1605
51160|613
11236|3638
51393|7442
4609|23085
10252|868
8452|4976
5921|309
5747|4193
7157|51741
9049|64581
3178|2969
6045|55759
960|573
3654|3315
996|996
1213|4790
54778|7508
4734|7322
10049|10013
3476|79840
26574|1613
166|55072
10458|55971
2537|351
8740|8834
26270|3074
5566|1385
2885|6764
3320|5871
54984|7430
55759|55759
4851|5664
2932|8517
2549|5829
3661|64750
6714|4133
1020|351
27316|51340
5333|801
6714|5295
5871|6416
4627|302
5130|9025
124583|124583
6631|10498
7322|115426
10014|27316
25836|5538
5914|6477
2040|2040
324|8658
23411|5906
57332|57332
10488|638
4087|23557
6500|26234
7322|23295
10458|55740
1153|22938
3717|3320
7324|11342
1153|51747
5603|7157
1213|409
5599|6464
8452|4722
3065|3320
3064|83737
5300|4303
2885|5930
51377|7295
8945|51741
7531|678
4899|23126
6478|6774
324|598
81559|7322
25855|351
10013|4615
83706|79753
57154|3178
11218|23405
8452|7072
3981|1278
10856|29110
10014|3837
8766|3064
1432|4209
6478|8841
6102|1454
10987|56254
2771|5581
4086|2648
7322|26994
57154|7186
1147|8717
1051|1387
7337|301
7184|10399
23640|7186
10987|6631
10399|6774
26058|6631
5594|7157
4088|3727
1453|1855
208|9545
4831|10856
51199|51199
26270|5538
4670|6636
10987|9097
22920|55696
6809|6809
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
23560|6189
2132|2132
23020|23020
1958|6647
1432|6774
51366|2932
3958|5781
81542|7295
6733|9648
4824|7089
1191|5444
4651|805
340061|23516
7531|3983
7132|9093
1432|5371
11315|204851
4038|25861
4790|5607
5581|6868
4193|57154
6777|351
8837|868
1969|1213
58517|6625
2034|2010
1147|9043
1831|3065
10987|7186
3065|2969
498|6199
5601|9031
26121|10291
3065|7428
8517|22938
4734|840
5914|23411
24148|58517
328|6418
26270|3187
3659|4193
83737|51429
8976|4690
29127|4294
5728|6231
9262|351
6502|997
8517|396
2261|5335
23580|10801
8682|8772
3621|7157
207|23327
5606|9479
29116|7334
23263|6194
2353|351
6789|9218
3801|10540
79654|10892
4869|24148
1956|6850
939|56913
4163|10569
1856|8878
3065|3297
23291|10413
10419|84844
7186|10758
396|637
166|6733
5052|51
23512|92609
2081|9097
7186|9994
6050|283
5295|1969
26227|6453
5966|6500
10755|613
23433|57120
5580|6944
166|11030
4830|983
8737|8517
3309|23636
672|23512
23327|79176
5716|8440
1832|5663
801|6249
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
2771|4691
311|4282
6772|55832
1031|55183
3685|7040
23411|4092
3091|613
7414|10381
55294|55294
5467|5970
4851|51434
975|6418
4214|10049
267|23295
8454|6434
51741|5914
2316|7532
6907|1499
1855|1499
4088|64219
1385|6722
2068|983
4436|8517
4728|11331
5290|6772
7187|329
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
4609|3837
23291|7832
10755|5578
1130|57060
6464|7175
1020|7917
5074|6523
5499|6502
4609|2033
1432|1956
6045|5289
6789|23085
1956|5802
1153|26121
54764|57332
208|7249
8805|57332
7324|10425
5829|102
1956|5604
23512|51747
3688|7414
5747|7132
2309|57708
4163|23020
847|6786
3320|1613
9092|22938
51564|79718
80331|10273
975|4869
79084|6597
2353|5536
1386|306
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22954|29979
409|10381
7428|1856
10013|6249
8454|4193
7428|5580
396|1967
5601|6470
196|4094
51257|7328
58517|6426
4609|4609
3611|79888
23390|79654
7159|3308
3661|2308
472|6477
3398|5925
6272|10542
8454|29127
55145|5074
4090|7844
3093|7428
207|3178
2624|6500
6733|27316
26270|6426
8945|55759
5879|10928
2334|4690
1386|7416
3655|3915
1642|4926
2908|10013
5663|348
7335|331
90678|3297
3925|5568
409|6714
4292|9898
675|2316
578|7416
8452|3308
29110|4670
3315|5898
23368|672
9516|29979
3309|6667
26524|4851
7528|351
3837|267
4790|8837
2885|51185
10987|3858
5966|801
5295|2033
118|667
1147|5499
9218|10452
2683|3728
6733|55832
7046|4087
1642|6772
10253|10817
5663|7046
23291|55759
5970|595
10181|55183
2885|835
93986|116113
23580|55752
10956|10488
6772|3654
8820|9612
10459|51343
1956|7327
1191|11130
8517|51256
7249|5747
7157|1958
498|93974
1739|23095
25932|5966
6498|51592
351|4609
10013|3320
5727|2683
51065|6188
8440|23043
6045|57332
1385|3066
7319|7319
4282|54984
7428|9821
11052|4076
23291|1213
4627|8767
9804|10452
6310|55072
57506|6772
5295|3265
5335|6714
405|9978
56829|351
409|5594
11338|6189
3315|6667
2885|6189
7428|1270
150684|5966
7416|7416
861|1387
4085|4085
8021|87178
328|1642
5300|11338
7375|7046
8651|2261
11130|9183
1601|1855
351|4763
2885|6237
51434|1387
10165|291
1051|1054
6667|23636
10379|10379
26994|9372
5906|396
11331|11218
3265|8315
10728|2065
149041|7332
408|6093
2335|1655
23291|1020
3309|811
55696|5936
8445|9821
7157|83737
6497|3329
1857|79753
1385|1051
5716|3320
23429|9191
4790|4791
6497|79718
864|4851
10159|23770
4976|664
311|7001
4000|4926
808|8717
4869|497661
8312|7248
23394|23212
4216|5604
6497|4691
11052|23020
3099|6720
9804|7416
123169|7319
23210|58517
56957|27338
472|10444
4085|6189
6045|7528
7428|6189
2734|6207
5609|9479
3912|43
2064|983
11060|7322
6310|11030
8621|10381
4734|6500
7453|7453
28996|28996
23043|23287
60485|26524
2192|10252
5599|23411
196|9978
5300|55201
5747|10273
83547|83547
4983|5879
5310|9564
7155|983
2132|6623
3603|3801
51257|57120
26270|4830
7818|7067
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
10010|1213
2885|3983
3643|8878
1386|10972
7325|9025
4791|6500
7326|10616
148281|8567
10010|9546
10987|1153
1956|92609
4790|801
9653|128869
10533|23411
23435|3320
408|1213
23512|3983
5595|6667
23512|6625
11338|3178
5879|7410
10075|32
4088|5371
7428|1291
408|498
998|4294
2118|2629
4952|1213
26272|26272
5914|23512
1365|5566
4211|5090
4609|8878
9572|351
5604|2887
26121|6426
7325|7703
4869|3956
10381|55023
8452|83695
928|961
3299|3297
6045|23020
1432|8841
10291|7919
5499|1454
23512|6045
5603|4216
1020|55083
5536|5930
149428|23557
4087|93649
648|4830
9444|92906
7323|4214
207|150684
128|351
1029|598
3320|405
7528|1387
6275|331
51026|5119
3309|3185
29110|26994
90678|90678
10600|2353
9545|351
4088|57680
9618|11059
7322|9025
3661|3843
5058|5879
4627|1601
6241|29945
23126|10459
2782|2534
8841|11331
23481|23481
4609|9968
151648|9611
7186|2081
3476|4282
4193|6597
25898|5429
8767|8517
7159|301
5925|3065
4292|4728
7375|10075
373|7324
1616|4629
54926|396
7327|267
7319|966
672|2316
5925|996
7321|4214
1948|8892
1956|808
4609|8454
11338|10075
3315|3476
1499|6500
3064|4294
6591|3065
5608|5970
10542|55183
9184|3837
3717|6513
5601|3726
497661|6231
2885|7532
2885|966
4609|7019
3717|5954
10291|3611
4628|4691
10458|10458
8841|2874
5058|10174
10114|1616
311|306
6881|6881
9531|10174
4792|4792
998|9230
2316|960
10381|2885
25865|4086
6310|3308
4869|2034
3320|26058
7410|23126
3643|3643
4214|387
9577|7157
3516|55031
8440|10458
24148|11338
2309|9181
4597|4597
2771|302
5204|7716
3661|7187
26270|7531
1499|10498
10159|387
8021|8021
11193|9184
10563|6363
5594|5213
5460|7026
51701|8454
7184|3309
2931|4077
3845|8945
578|7337
3091|6714
989|5966
54974|51100
26130|22821
7428|6513
1649|1051
3958|351
4690|6655
55669|891
11331|6189
3603|7205
54778|7188
9618|1499
3925|5603
1499|4771
6625|8454
6434|27316
7013|840
6794|79155
26121|6431
1432|572
3178|3858
26001|9040
7879|5119
7328|5970
55752|7189
5536|10672
1029|3320
9693|3832
6045|801
6733|5930
4216|6711
2010|4000
56957|79155
150684|331
373|5296
81847|7322
3845|351
8841|7155
57506|6714
836|9191
2071|6421
3832|79718
3956|2969
23236|6711
10105|10277
23411|9611
5747|6714
7528|29844
2321|5335
4609|5601
4000|9031
1387|7157
1540|4646
6421|5213
10253|10252
9577|10342
3655|351
2885|26999
334|5578
3837|6207
7324|4214
4670|5906
10013|22919
402|23568
1655|51747
27086|7157
2033|9500
4086|7508
996|29945
5728|331
8837|4088
57154|10540
26994|11060
5499|6500
1655|6625
5936|2034
7324|4734
7531|6885
5599|3297
409|4691
7001|2956
9968|9968
996|51434
4087|5601
472|6240
2316|4000
5566|5568
3320|16
1153|9785
8837|7157
55681|6189
998|23580
7531|805
10892|7189
51619|26001
22882|22882
9146|23636
4163|6801
836|637
7332|3308
148022|10498
8454|1153
9255|351
8452|23770
1499|604
847|351
7398|7398
324|4646
27086|27086
11128|10623
3320|3178
10013|2932
2734|4792
8945|10277
2908|2782
9690|7321
51366|7164
10987|23318
6714|1072
2908|5598
353376|51135
7323|55159
2071|5725
115426|4170
5213|5211
5316|6929
3309|10542
55696|6431
3178|23435
2011|23303
9079|51564
5371|5300
4292|8930
79155|1147
7335|10273
8772|8772
2885|5530
3654|9618
2896|51701
1027|8454
10580|4609
10460|3832
10163|8976
26060|3397
2932|23122
805|818
3726|672
151636|3717
57142|6714
7186|8772
5451|351
8452|3251
7132|5879
6647|55681
672|5970
5906|3065
3603|54764
51592|8861
3315|3187
10856|6502
4860|7157
648|10270
26524|222484
64783|9690
3297|4831
302|6207
9133|7048
10477|10477
3654|8772
23295|4734
253980|387
23512|10291
8452|51119
4088|1655
3315|7157
8613|351
23327|997
6850|5296
11059|7323
3064|2885
3092|5966
5295|153090
1385|818
1153|58517
11130|1655
51741|26999
3187|7431
5598|7531
166|166
8452|22836
51619|7844
6648|7001
23557|8943
79577|1499
10273|7186
4088|55958
4734|6198
578|598
672|6597
26270|391
329|329
2277|8754
6733|23332
6045|10527
30844|90678
27429|4976
6881|2648
10087|5587
8878|9611
9531|5721
29110|498
5287|6464
10458|26999
2033|4094
1956|7531
23291|27316
64783|7919
7295|23636
5594|5925
10856|9020
54872|351
8452|1798
10569|23028
51141|29979
55294|9978
7322|8454
7132|808
648|92609
11124|11124
1130|9968
6500|8517
2885|5747
1655|9020
2261|55819
90780|207
3065|7431
5599|3725
79577|3320
604|6597
9646|10579
3280|3320
1956|8813
54623|9646
4163|8517
9230|5333
23368|2064
1956|8892
3958|5420
2534|4690
219771|79084
28996|8717
27339|6434
54880|84759
6929|2033
4609|6625
409|6772
23512|10181
1956|2771
648|6733
10188|998
5530|998
10253|2885
7319|23304
4214|3093
55284|55159
5871|7186
3187|51340
28996|3065
3065|5087
1153|24148
22938|5213
1027|7531
6045|6625
11051|51747
10787|4690
9474|8772
4087|4090
9445|197131
4628|8766
9612|1051
4609|6742
3178|5603
4627|4791
51564|6907
2034|11331
1454|8312
23291|10181
4609|128239
149428|149428
23162|9479
1540|7189
7375|3956
4221|4221
7879|8766
84447|4627
351|2192
207|2033
55294|4644
6733|29116
302|351
2889|2885
2889|6655
57154|7431
6199|6188
3309|7186
4218|10938
11315|4722
3065|5914
835|4193
6733|79576
7067|8841
351|1191
2549|6464
91|57154
6199|4076
4092|4734
3309|3398
7184|9255
9025|10600
10075|3066
6310|9898
1213|7132
6453|5204
1642|6502
3727|4089
3300|538
403|197131
10116|9978
8454|4691
6667|9846
2033|208
4690|323
4792|6207
4790|7528
83737|10477
8315|8315
10783|10783
10014|55832
1147|805
6478|51196
7057|7422
3320|780
10342|6714
64786|5868
3309|4691
51377|1832
4627|7126
7186|7531
6231|351
11124|3611
4734|1020
7189|56957
1032|595
9451|9451
10987|5580
8312|28996
7205|5747
10987|6194
196403|196403
1540|10013
51026|998
6729|7518
6667|5599
5074|5371
55284|26001
662|351
10419|3065
11059|7321
2040|5568
5911|9448
5058|961
3329|3688
5664|320
79594|207
23327|7334
2033|5371
6901|4041
10569|51747
6774|4086
5581|1832
672|55284
10159|8766
57506|79654
3516|8454
10628|3065
4830|6095
222484|3603
10987|5052
7013|90678
3654|10273
3958|871
2131|2132
54602|2534
939|7187
29110|4791
8841|5087
23411|6720
3667|5291
10075|3308
497661|6189
1649|1386
672|9093
5108|10458
3621|3066
2081|7132
7532|5289
581|331
2648|4830
5728|5728
4170|8658
997|8454
3612|5333
7013|396
2011|23122
10938|8539
9479|5599
84292|10848
208|842
2908|6249
7013|1936
9500|9500
5970|9093
51429|51429
7322|1027
6045|10291
22976|6625
7013|4926
10014|5725
8841|4790
83737|5460
5499|25998
4609|23318
4869|4869
5300|6647
51529|64682
3725|408
5530|572
2932|64750
6774|3066
2011|23332
7186|6426
2969|4792
54984|7013
4089|4790
5578|7832
23299|23299
23414|3065
54984|801
29110|3665
7188|4217
3092|9516
3185|51340
598|842
7328|85363
51257|997
409|4214
5594|7132
2335|3936
10159|11060
4609|3066
2932|58526
4055|9618
10381|7018
207|6789
3064|3093
11060|997
5451|4331
5499|23189
7046|9043
2335|16
3309|5728
5581|7416
7532|5295
6188|6194
4851|9253
79084|4086
10273|7324
3396|10939
51377|29844
2033|3516
23327|51256
7186|9821
10725|5335
1072|5052
1956|5594
5499|8493
7019|64216
1387|1385
5300|2280
3611|8813
23633|3838
4088|1601
4170|637
9372|5930
10188|9564
6907|10477
9611|2874
80762|5728
5295|3717
4218|7917
2004|5204
51701|51701
5911|10212
22882|5604
5664|6717
989|9025
7337|7324
1676|5413
23542|10939
23560|23212
4627|81844
23291|8517
324|1454
5429|57082
10270|10856
115426|1499
7132|7187
1936|5716
2734|4790
85363|22954
153090|207
3091|9978
8878|1500
54106|81622
30844|158
23020|4670
79631|573
6198|983
54602|4734
23429|7528
10051|3981
5300|1642
7428|2896
28999|2033
10856|26060
7328|81847
3726|334
2004|2885
3093|5966
9444|9444
6885|9448
805|805
5802|197131
801|8767
8766|9727
2625|5469
207|8682
9093|10498
3320|84759
324|90678
868|148022
1429|1429
1432|6464
1386|7532
6774|5970
7013|55971
4691|7416
10014|4830
6901|1292
6722|5970
2889|6574
27148|55755
1432|55031
7048|7189
3065|4609
25847|8697
6497|23411
409|6733
8829|8829
8737|54476
10494|6801
4824|10116
7186|7295
10987|6464
1385|7157
1454|4040
2874|3187
29979|51499
10540|81929
1936|5295
5781|79577
595|996
1192|4292
10342|5603
196|9612
10658|351
7186|7525
54106|7096
9693|2040
672|2969
9612|8841
6667|4609
8452|488
241|240
11218|9612
8945|25937
2065|7410
409|7531
2261|6774
1856|387
7428|92906
5130|6284
3655|6464
1856|7525
26524|7532
8945|4193
10758|7335
7132|5295
112939|54880
6194|7428
2064|6774
22919|23499
396|6714
1387|604
7818|1453
1385|6196
7525|9846
3837|3838
8452|7431
23390|5295
4790|1191
26060|3065
4609|2956
4217|11315
4193|10206
7157|23481
10626|351
3320|7046
7186|801
81559|7321
51340|23020
23512|29890
6794|1967
