EntrezGeneID1|EntrezGeneID2
4790|79155
26039|6597
57154|3309
5879|23568
9869|121504
1855|8312
10206|396
10577|4864
5604|8837
6477|5932
5310|87
55366|23310
5110|7077
1432|2004
10664|3146
56254|51322
1432|8945
246184|51434
7917|84292
5469|5469
10014|7037
10672|7046
26227|2885
2624|161882
55832|1832
23081|3065
5879|4627
3309|27000
2074|55832
9968|9412
27159|54820
23405|3329
3915|3912
84687|5499
10905|11253
5335|5921
9516|23327
1650|3703
2316|71
2885|2887
1499|5494
3275|6256
6729|6729
8454|6631
153090|8454
7879|57403
22955|8467
10987|8607
2288|10728
84661|10565
5499|5568
7319|1029
118|3398
4627|54822
22976|10111
4771|6895
6492|3320
1017|3398
2885|3329
3065|6883
10419|291
6601|5978
1786|53615
7157|2648
2734|5966
11060|1605
9113|10413
4090|23451
11034|25824
4629|10096
5747|1605
51160|613
11236|3638
51393|7442
4609|23085
8452|4976
8233|23451
7415|51366
5921|309
86|79718
5747|4193
23363|8607
7157|51741
7322|2060
3178|2969
6045|55759
960|573
5467|8202
23394|6601
648|11171
3654|3315
7532|8451
996|996
7415|1019
1213|4790
4734|7322
9612|8202
9218|4720
8451|8467
10049|10013
2023|3187
5970|8986
166|55072
10458|55971
2537|351
26270|3074
5566|1385
2885|6764
3320|5871
54984|7430
23532|121504
6303|8525
7157|5110
5566|5705
6210|79084
55759|55759
4851|5664
2932|8517
2549|5829
3171|1832
3661|64750
6714|4133
1020|351
27316|51340
5516|3476
5333|801
6714|5295
54583|6478
5871|6416
3054|3320
26276|351
23133|55183
4627|302
7015|302
5130|9025
4221|25942
124583|124583
6631|10498
7322|115426
57154|3622
3265|8036
10014|27316
25836|5538
5914|6477
51548|2317
324|8658
23411|5906
57332|57332
10488|638
4087|23557
6500|26234
7322|23295
10458|55740
3717|3320
7324|11342
5603|7157
1213|409
5599|6464
3065|3320
3064|83737
5300|4303
2885|5930
29127|5116
79991|9968
2730|3665
8945|51741
4899|23126
6478|6774
6045|2317
324|598
1937|4193
81559|7322
10013|22985
54556|8454
25855|351
2023|9244
5071|2060
30827|80335
10013|4615
83706|79753
5595|6548
79791|595
57154|3178
79991|23186
5747|4678
7415|5245
8452|7072
5108|55081
5071|4831
3981|1278
10856|29110
1956|29911
8766|3064
1432|4209
6478|8841
5701|5693
6102|1454
10987|56254
3476|53615
2771|5581
4086|2648
7322|26994
57154|7186
25913|7531
9099|9361
4088|6601
55366|29881
1017|9113
10163|10096
8850|142
3065|8360
1147|8717
1051|1387
2067|6879
7337|301
7184|10399
3301|4790
23363|81
1786|30827
23640|7186
8725|55929
10987|6631
10399|6774
2648|6877
26058|6631
5594|7157
58|5879
4088|3727
1453|1855
208|9545
4831|10856
26270|5538
4086|58533
4670|6636
10987|9097
23363|3276
10006|5296
10987|81620
7132|8363
6809|6809
752|51474
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
2132|2132
23020|23020
1958|6647
1432|6774
7415|79058
23363|7341
51366|2932
3958|5781
6733|9648
2935|382
2071|4168
4824|7089
1788|130557
1191|5444
4651|805
2185|6774
340061|23516
7531|3983
7132|9093
1432|5371
11315|204851
2034|25942
6257|7415
9657|51552
4038|25861
55366|4297
4790|5607
6772|3326
5581|6868
4193|57154
6777|351
1969|1213
58517|6625
2034|2010
1147|9043
4218|117177
4292|5887
1831|3065
10987|7186
23286|79577
2547|3064
57634|80314
6886|2547
1810|11091
3065|2969
498|6199
5601|9031
26121|10291
3065|7428
7251|4193
8517|22938
7059|222229
5914|23411
24148|58517
328|6418
26270|3187
6598|55636
10933|86
81620|51433
3659|4193
27346|6814
83737|51429
26259|23363
8976|4690
29127|4294
3185|9757
5728|6231
6636|84967
6502|997
5071|539
3320|1019
8517|396
8682|8772
9693|554313
9531|51022
5530|6257
60673|2309
3315|23363
5594|6640
207|23327
5606|9479
3066|83933
29116|7334
9218|5245
23263|6194
6871|2648
2353|351
6789|9218
3801|10540
7013|28988
79654|10892
1956|6850
939|56913
23515|54476
4163|10569
8751|7525
886|887
1856|8878
3065|3297
23291|10413
1196|672
10419|84844
10155|5460
7186|10758
396|637
56652|6613
166|6733
1017|3146
5052|51
6871|3185
23512|92609
112869|9910
7186|9994
6050|283
472|10155
5295|1969
5970|7052
4193|55967
408|8361
26227|6453
7415|6500
5966|6500
10755|613
23433|57120
10987|8365
5580|6944
4830|983
1616|3276
8737|8517
3309|23636
672|23512
2826|2885
23327|79176
5716|8440
5594|1978
1832|5663
801|6249
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
25913|5110
2771|4691
6389|4729
3030|51
311|4282
6772|55832
55832|8360
6879|2118
4700|9519
1031|55183
3685|7040
23411|4092
11091|51562
8450|23348
3091|613
7414|10381
55294|55294
5467|5970
4851|51434
22985|51504
975|6418
5829|84661
4214|10049
267|23295
8454|6434
51741|5914
29843|142
5058|10472
2316|7532
6907|1499
1855|1499
4088|64219
1312|9156
1385|6722
2068|983
1827|7189
4436|8517
4728|11331
5290|6772
7187|329
6733|8726
6934|7248
240|5594
23411|3309
1856|7126
7392|8463
7046|7040
25913|3326
8737|329
7494|7494
8850|10629
23291|7832
1017|57591
7072|5094
2335|10432
54386|6672
10755|5578
7536|3187
6464|7175
1020|7917
6275|23774
5074|6523
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
6613|9219
7027|1387
6789|23085
51451|5516
8452|8450
6944|3276
10592|25942
1956|5802
22955|8834
54764|57332
84661|87178
208|7249
8805|57332
4700|4724
7324|10425
1487|93986
6389|9093
7494|2648
