EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
57162|7321
1855|8312
10206|396
10577|4864
5604|8837
5310|87
149041|7327
1432|2004
56254|51322
11051|3066
1432|8945
246184|51434
55294|29079
5469|5469
10014|7037
10672|7046
5879|4627
2074|55832
23405|3329
5335|5921
4869|498
2885|2887
1499|5494
3275|6256
6729|6729
153090|8454
7879|57403
2288|10728
7319|1029
118|3398
4771|6895
1017|3398
2885|3329
7157|2648
11060|1605
11034|25824
5747|1605
51160|613
11236|3638
4609|23085
10252|868
8452|4976
5747|4193
960|573
5467|8202
3654|3315
996|996
1213|4790
4734|7322
9218|4720
3476|79840
10458|55971
2537|351
26270|3074
2885|6764
6303|8525
6461|6714
6210|79084
4851|5664
2932|8517
2549|5829
3661|64750
1020|351
5516|3476
6714|5295
5871|6416
4627|302
5130|9025
124583|124583
7322|115426
7917|710
3265|8036
5914|6477
2040|2040
324|8658
23411|5906
57332|57332
6500|26234
7322|23295
10458|55740
7324|11342
5603|7157
1213|409
5599|6464
3064|83737
5300|4303
2885|5930
2730|3665
6045|2317
324|598
1937|4193
81559|7322
10013|22985
25855|351
10013|4615
8452|7072
3981|1278
8766|3064
10987|56254
2771|5581
4086|2648
7322|26994
57154|7186
9099|9361
1017|9113
1147|8717
7337|301
7184|10399
3301|4790
23640|7186
10399|6774
5594|7157
58|5879
10006|5296
6809|6809
6468|8454
3667|55023
57154|10188
3643|5580
1958|6647
1432|6774
51366|2932
3958|5781
1191|5444
7132|9093
1432|5371
11315|204851
9657|51552
4038|25861
55366|4297
4790|5607
5581|6868
4193|57154
6777|351
8837|868
1969|1213
1147|9043
1831|3065
10987|7186
3065|2969
3065|7428
5914|23411
29079|8878
3659|4193
83737|51429
8976|4690
29127|4294
6502|997
8517|396
23580|10801
8682|8772
9531|51022
5530|6257
5594|6640
5606|9479
29116|7334
9218|5245
23263|6194
2353|351
6789|9218
7013|28988
79654|10892
1956|6850
939|56913
9063|9063
23515|54476
1856|8878
3065|3297
10155|5460
7186|10758
396|637
1017|3146
5052|51
6050|283
472|10155
5295|1969
5970|7052
4193|55967
5966|6500
10755|613
23433|57120
4830|983
8737|8517
3309|23636
672|23512
2826|2885
5716|8440
10728|7189
4615|4088
9344|5606
4616|983
2771|4691
3030|51
6772|55832
3685|7040
23411|4092
3091|613
604|9170
55294|55294
5467|5970
4851|51434
267|23295
5058|10472
367|4193
6907|1499
1855|1499
9063|2908
4088|64219
1385|6722
2068|983
1827|7189
4436|8517
4728|11331
5290|6772
7187|329
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
23291|7832
1017|57591
7072|5094
5683|5682
10755|5578
1020|7917
5074|6523
4609|2033
1432|1956
6045|5289
6789|23085
208|7249
8805|57332
4700|4724
7324|10425
7494|2648
6774|6778
5829|102
1956|5604
5747|7132
2309|57708
975|4869
79084|6597
2353|5536
1386|306
7189|51135
10987|7001
5914|5469
1278|960
4199|4199
22954|29979
7428|1856
1969|9525
10013|6249
8454|4193
5516|9448
7428|5580
396|1967
5601|6470
196|4094
51257|7328
4609|4609
23390|79654
3661|2308
472|6477
3398|5925
8454|29127
55145|5074
3093|7428
2624|6500
5879|10928
58|7187
1017|8531
1017|5094
3655|3915
2908|10013
5663|348
7335|331
90678|3297
9101|6778
409|6714
675|2316
9516|29979
3309|6667
7528|351
871|7171
4790|8837
2885|51185
5295|2033
3315|9588
1054|1017
9070|2033
2683|3728
6733|55832
1785|6386
10572|27
7046|4087
1642|6772
23543|3202
5663|7046
5970|595
5469|29079
23580|55752
6772|3654
6714|6778
10459|51343
1956|7327
8517|51256
7249|5747
7157|1958
498|93974
6498|51592
351|4609
10818|4915
8440|23043
6045|57332
1385|3066
7319|7319
1432|81
7428|9821
23291|1213
4627|8767
6310|55072
57506|6772
5295|3265
5335|6714
405|9978
56829|351
409|5594
1017|7915
3315|6667
150684|5966
3146|3148
4085|4085
328|1642
7375|7046
351|4763
2885|6237
1051|1054
6667|23636
10379|10379
5906|396
3265|8315
149041|7332
8202|1147
408|6093
23291|1020
3309|811
7157|83737
4691|5094
6497|3329
1857|79753
1385|1051
4790|4791
864|4851
10159|23770
4976|664
4869|497661
8312|7248
4216|5604
6497|4691
22800|5900
123169|7319
23263|23451
56957|27338
472|10444
6045|7528
847|3295
5609|9479
2064|983
11060|7322
23411|367
4734|6500
7453|7453
28996|28996
9282|29079
23043|23287
2192|10252
5599|23411
196|9978
5747|10273
83547|83547
4983|5879
5310|9564
51257|57120
9440|7157
26270|4830
581|255488
5581|8682
1856|3309
5460|5460
10010|1213
664|7052
3643|8878
7325|9025
4791|6500
7326|10616
408|1213
5595|6667
5879|7410
10075|32
4088|5371
8891|8531
7428|1291
408|498
998|4294
2118|2629
4952|1213
65057|51119
26272|26272
5914|23512
4609|8878
9572|351
5604|2887
7325|7703
4869|3956
3299|3297
1432|8841
23512|6045
5603|4216
4086|4853
5536|5930
6714|367
4087|93649
648|4830
7323|4214
207|150684
128|351
1029|598
1936|1937
6275|331
27|10152
29110|26994
90678|90678
10600|2353
9618|11059
5693|5683
7322|9025
5058|5879
6241|29945
3476|22948
2782|2534
8841|11331
4609|9968
5170|5604
3476|4282
4193|6597
8767|8517
65057|677
5925|3065
4292|4728
7375|10075
2932|367
373|7324
1616|4629
54926|396
7327|267
7319|966
672|2316
5925|996
7321|4214
8454|55904
6716|7923
5515|4215
4194|351
4609|8454
3315|3476
1499|6500
8751|23636
3066|3301
672|7168
3064|4294
6591|3065
5608|5970
5601|3726
2885|966
3717|5954
4628|4691
10458|10458
6640|128
8841|2874
10131|4089
5058|10174
10114|1616
6881|6881
1017|2896
9531|10174
4792|4792
998|9230
22955|22955
2316|960
10458|10006
25865|4086
4869|2034
3065|9070
3643|3643
4214|387
9577|7157
8440|10458
65018|7052
2309|9181
2771|302
1017|5604
3661|7187
7390|2730
1499|10498
10159|387
5594|5213
7879|5245
7703|22955
5460|7026
7184|3309
3065|5929
8452|2730
3845|8945
3091|6714
989|5966
2023|43
54974|51100
9063|3725
1956|27
5580|7037
3958|351
4690|6655
54778|7188
9618|1499
3925|5603
1499|4771
4214|2317
6794|79155
1432|572
26001|9040
7328|5970
55752|7189
3309|5682
5536|10672
6733|5930
56957|79155
150684|331
373|5296
81847|7322
3845|351
57506|6714
3956|2969
23411|9611
5747|6714
2321|5335
4609|5601
10253|10252
9611|10155
9577|10342
3655|351
1017|16
334|5578
7324|4214
10013|22919
27086|7157
28988|8924
2033|9500
996|29945
5728|331
8837|4088
26994|11060
5936|2034
7324|4734
1017|1603
5599|3297
409|4691
7001|2956
9968|9968
996|51434
4087|5601
472|6240
6386|8408
8837|7157
998|23580
10892|7189
3315|81
51619|26001
836|637
148022|10498
9255|351
8452|23770
1499|604
847|351
324|4646
27086|27086
11128|10623
10013|2932
6257|10621
8945|10277
2908|2782
9690|7321
51366|7164
10987|23318
6714|1072
2908|5598
353376|51135
29079|29110
7323|55159
115426|4170
7168|7184
5607|2023
5213|5211
5316|6929
3309|10542
9079|51564
5371|5300
79155|1147
11284|23287
7335|10273
8772|8772
2885|5530
3654|9618
1027|8454
10580|4609
373|84919
6468|22948
10163|8976
26060|3397
6840|2040
3726|672
151636|3717
57142|6714
7186|8772
5451|351
8452|3251
7132|5879
6647|55681
672|5970
5906|3065
51592|8861
4860|7157
2885|6294
64783|9690
5058|6615
3297|4831
4700|4728
10477|10477
3654|8772
23295|4734
253980|387
2353|2962
8452|51119
3315|7157
8613|351
1386|9063
6850|5296
11059|7323
4086|9862
3064|2885
5295|153090
983|3146
8525|3265
2033|7392
8452|22836
51619|7844
6648|7001
79577|1499
10273|7186
4088|55958
672|6597
10014|9588
26270|391
329|329
2277|8754
4724|4710
30844|90678
6881|2648
8878|9611
4193|23451
29110|498
2033|4094
5594|5925
54872|351
5728|1399
51141|29979
55294|9978
7322|8454
11124|11124
2023|3066
1130|9968
10155|6778
6500|8517
2885|5747
90780|207
1017|7533
3065|7431
5599|3725
604|6597
1956|8813
54623|9646
4163|8517
9230|5333
1956|8892
20|6667
2534|4690
28996|8717
54880|84759
6929|2033
1901|207
409|6772
1956|2771
208|335
648|6733
10188|998
5530|998
3146|5578
10253|2885
7319|23304
4214|3093
55284|55159
5871|7186
28996|3065
3065|5087
3638|3156
10787|4690
9474|8772
4628|8766
8036|10075
4627|4791
51564|6907
2034|11331
4609|128239
23162|9479
23263|6210
7375|3956
4221|4221
7879|8766
2023|48
84447|4627
351|2192
207|2033
55294|4644
6733|29116
302|351
2889|2885
2889|6655
57154|7431
3309|7186
3065|5914
6733|79576
10766|10766
7067|8841
351|1191
2549|6464
91|57154
10014|2806
4092|4734
3309|3398
7184|9255
2023|6885
9025|10600
8517|5515
10075|3066
1213|7132
1642|6502
2932|23451
3300|538
403|197131
9968|29079
10116|9978
8454|4691
6667|9846
2033|208
4294|27
4690|323
10014|5094
55366|22985
4790|7528
83737|10477
8315|8315
10783|10783
10014|55832
7057|7422
10342|6714
64786|5868
335|5914
3309|4691
5338|5580
4627|7126
367|10399
4734|1020
26270|7037
7189|56957
8945|3182
1032|595
9451|9451
9967|9969
10987|5580
8312|28996
7205|5747
10987|6194
4088|9862
51026|998
6729|7518
6667|5599
5074|5371
55284|26001
9099|10616
11059|7321
5911|9448
5058|961
3329|3688
79594|207
5728|6386
2033|5371
1017|55636
6901|4041
6774|4086
672|55284
10159|8766
57506|79654
23705|6386
3516|8454
10628|3065
10987|5052
7013|90678
4869|2023
3654|10273
3958|871
54602|2534
939|7187
56898|56898
29110|4791
8841|5087
23411|6720
3667|5291
672|9093
1017|7168
1385|9063
581|331
2648|4830
5728|5728
4170|8658
997|8454
3612|5333
7013|396
7186|8204
10938|8539
9479|5599
2908|6249
7013|1936
9500|9500
5970|9093
51429|51429
7322|1027
4831|25824
8841|4790
83737|5460
10006|1399
4609|23318
4869|4869
5300|6647
51529|64682
3725|408
5530|572
2932|64750
6774|3066
2969|4792
4089|4790
3054|6722
9657|871
10006|868
57162|4615
7923|84869
5578|7832
8625|11331
408|7533
23299|23299
23414|3065
29110|3665
7188|4217
8452|23451
7328|85363
51257|997
409|4214
55832|10155
5594|7132
10159|11060
4609|3066
2932|58526
4055|9618
367|8204
207|6789
3064|3093
11060|997
7536|7332
7046|9043
3309|5728
1386|22948
11284|351
79084|4086
10273|7324
4683|2956
2033|3516
7186|9821
10725|5335
1072|5052
4700|7917
1956|5594
10155|7323
672|285464
5300|2280
4170|637
10188|9564
6907|10477
9611|2874
80762|5728
5295|3717
2768|5578
5460|3146
26060|367
989|9025
4087|476
7337|7324
23542|10939
4627|81844
23291|8517
57162|7322
115426|1499
4700|4710
7132|7187
8085|367
1936|5716
10477|4780
85363|22954
153090|207
3091|9978
8878|1500
54106|81622
30844|158
79631|573
10928|92
64219|9101
54602|4734
23429|7528
5300|1642
7428|2896
8751|6714
4780|10155
7328|81847
3726|334
2004|2885
3093|5966
9444|9444
8452|22948
6885|9448
3295|6648
8766|9727
2625|5469
207|8682
9093|10498
324|90678
868|148022
1429|1429
1432|6464
7178|7178
6774|5970
7013|55971
10014|4830
6901|1292
6722|5970
2889|6574
7048|7189
3065|4609
25847|8697
6497|23411
409|6733
8829|8829
8737|54476
4824|10116
10987|6464
1385|7157
2023|8767
29979|51499
1936|5295
5781|79577
11331|6210
595|996
10342|5603
9564|1399
1956|27346
54106|7096
5289|10155
9693|2040
672|2969
8204|10014
6667|4609
8945|25937
1856|387
26270|6874
5130|6284
3655|6464
6874|51434
4194|2033
1386|7171
8945|4193
5525|8313
10758|7335
7132|5295
112939|54880
6194|7428
2064|6774
3476|93100
22919|23499
396|6714
8452|7431
23390|5295
4790|1191
26060|3065
9170|9826
4609|2956
4217|11315
8202|57591
4193|10206
10626|351
81559|7321
6794|1967
5683|9690
4292|6624
6275|6275
1499|3065
10075|5423
6840|4831
7048|1616
5728|7157
10155|51592
11052|6294
389|7189
7337|302
1072|2023
8694|8694
2068|2068
6615|8945
5594|3845
8805|5371
55832|10399
10342|25836
5728|8503
328|382
5058|572
8452|23636
6210|9020
207|5578
7430|9368
2885|302
8452|8531
7703|6015
7703|6045
4728|5245
9821|6497
23673|10938
54476|7100
7322|55819
408|55681
811|351
7325|83737
323|538
331|836
5058|7431
10848|10848
1029|81
10499|3091
23429|6500
150684|2033
207|25998
5908|11124
8697|983
55366|56957
5335|2885
4791|5693
5580|7431
3725|81
1051|7157
2768|9826
54623|56254
5154|6667
1739|4215
4780|51322
5018|5018
7430|8767
55366|23513
9978|351
10987|351
1072|476
4087|4976
6667|7171
51026|966
5601|207
5683|9978
5594|6464
5578|7431
7321|4683
2309|1499
334|5601
409|10273
5830|5828
1147|5970
331|7332
5598|7157
394|5829
409|1072
2534|3655
5525|6464
27338|26271
207|3162
8452|476
672|405
1017|2950
572|665
1642|10987
7326|9101
8473|1399
6500|997
11315|8772
23043|6885
7879|1072
1969|7046
6240|648
4853|3516
6477|331
7168|7171
51144|5245
4691|55681
672|7013
2885|10342
7321|57534
595|896
7050|3725
23291|51366
23236|5594
6714|868
5728|5608
11001|5195
1028|8454
10755|54910
208|4486
25898|7157
3064|1499
6416|2317
8795|80762
79084|4824
79594|79594
210|8473
1119|351
23512|31
29079|23085
4792|5300
7324|79594
10075|1936
4609|8985
5598|5371
2889|5908
10987|6597
7334|26994
51564|51564
51564|81
581|2074
4830|4830
10014|6885
4048|23411
6794|2011
3685|7057
5530|5728
6237|5900
648|8531
7052|836
3064|51100
22919|81
3661|10522
2353|5300
5581|581
6885|23085
81|5598
29109|3265
1432|9564
6249|6249
22919|2534
476|5245
207|367
8697|246184
7335|22954
222484|8503
207|4194
4089|5268
2908|7337
6500|79176
7337|5914
6850|7189
7334|331
4204|6497
3265|51196
351|1072
5578|7157
6502|7528
3661|6737
5300|1017
23291|3054
10758|7189
9821|4217
10210|5879
10273|4215
5594|3091
5594|2950
4869|23411
10938|55236
7319|4193
3965|961
10498|6597
64750|7321
6502|1017
23263|23405
5296|351
6464|4915
8766|9230
11034|54677
5595|7421
10939|351
2494|1385
4771|9368
5587|3725
10580|5747
3665|10155
4609|4780
10025|6257
661|23543
57332|8531
5580|5170
2316|2778
1017|302
324|1936
10131|25824
92140|10210
5911|5911
1956|7186
7157|10273
3516|8473
396|3182
861|861
10818|10253
10487|10487
6714|7430
5599|56940
8697|6874
5300|5914
391|4089
10987|10399
5868|5868
51026|27032
1856|79753
22985|989
81|1499
1017|3925
4087|3665
1605|5295
23291|997
7322|29979
1017|675
79753|9967
26270|10155
9611|861
2023|2947
1017|85440
2308|23411
1909|4170
3065|8820
246184|4085
4297|367
5516|5515
11124|23291
5213|8301
648|4691
9604|7421
4771|6386
4088|57669
491|5578
7168|7168
405|6901
328|27339
1017|5595
57154|6210
8717|8737
2782|4215
3516|5087
10672|9826
8517|10892
10580|8751
4609|7157
23451|5094
998|51552
7189|998
6885|1213
3654|22954
10783|10935
51474|3956
4163|9255
3065|10155
23598|367
23512|5245
11060|7321
7410|6733
5796|5829
7157|3146
4086|10273
11186|7132
5781|2690
3667|5170
4296|5604
6045|1104
27252|58
1029|4691
5604|5604
22976|3301
3064|4790
25923|498
51619|23295
10600|10600
64682|983
4296|5300
6885|8517
5581|6774
11034|4629
3654|9500
11331|1717
51119|10277
