EntrezGeneID1|EntrezGeneID2
57154|3309
5879|23568
5300|81628
1855|8312
10577|4864
5604|8837
3339|351
5310|87
1432|2004
11051|3066
1432|8945
55294|29079
5469|5469
10014|7037
10672|7046
26227|2885
5879|4627
7514|2308
9968|9412
23405|3329
3915|3912
5335|5921
4869|498
1650|3703
672|2355
2885|2887
1499|5494
3275|6256
11051|55696
9146|90390
81847|7520
2288|10728
5499|5568
7319|1029
118|3398
4627|54822
6492|3320
1017|3398
2885|3329
4734|6189
7157|2648
2734|5966
9113|10413
4090|23451
9131|3303
11034|25824
5747|1605
51393|7442
10252|868
8452|4976
7415|51366
5921|309
5747|4193
7157|51741
4700|4722
6045|55759
960|573
3654|3315
7514|23636
7415|1019
1647|983
10049|10013
3476|79840
26574|1613
166|55072
10458|55971
2537|351
5566|1385
2885|6764
3320|5871
6461|6714
55759|55759
4851|5664
2549|5829
4778|5195
3171|1832
6714|4133
1020|351
5516|3476
5333|801
6714|5295
54583|6478
5871|6416
2063|2063
26276|351
4627|302
26524|7533
5130|9025
7917|710
25836|5538
2040|2040
324|8658
6934|7520
10488|638
10458|55740
3717|3320
5603|7157
5599|6464
8452|4722
3065|3320
3064|83737
5300|4303
2730|3665
8945|51741
6478|6774
324|598
10013|22985
25855|351
10013|4615
5595|6548
11218|23405
5747|4678
7415|5245
55759|7514
8452|7072
5245|6189
3981|1278
10856|29110
10014|3837
8766|3064
1432|4209
6478|8841
4086|2648
57154|7186
1017|9113
1147|8717
1051|1387
7337|301
7184|10399
3301|4790
10399|6774
5594|7157
4088|3727
1453|1855
226|226
5595|1645
4831|10856
8243|23476
7520|5494
3303|5704
22920|55696
10006|5296
6809|6809
7428|23032
3667|55023
3643|5580
23560|6189
1958|6647
1432|6774
7415|79058
51366|2932
3958|5781
81542|7295
6733|9648
4824|7089
1788|130557
1191|5444
4651|805
2185|6774
7132|9093
1432|5371
11315|204851
55366|4297
4790|5607
672|79035
6772|3326
5581|6868
4193|57154
6777|351
8837|868
2034|2010
1147|9043
5532|3313
1831|3065
10987|7186
2547|3064
2243|5581
3313|3312
6886|2547
3065|2969
498|6199
3065|7428
2878|34
7251|4193
29116|81628
3308|3337
4683|3843
5914|23411
328|6418
6598|55636
3659|4193
27346|6814
83737|51429
8976|4690
5532|7942
9262|351
3320|1019
3312|10808
8682|8772
3621|7157
9531|51022
7514|10856
207|23327
5606|9479
336|8694
29116|7334
2353|351
1956|6850
939|56913
9063|9063
23515|54476
3065|3297
23291|10413
26973|2288
10155|5460
2648|7520
166|6733
1017|3146
5052|51
7514|56243
7186|9994
6050|283
472|10155
5295|1969
5970|7052
4193|55967
26227|6453
10755|613
23433|57120
5580|6944
166|11030
4830|983
1616|3276
3309|23636
23327|79176
5716|8440
1832|5663
801|6249
10728|7189
1454|5664
4615|4088
9344|5606
7514|6772
4616|983
311|4282
1031|55183
3685|7040
23411|4092
10488|362
3091|613
7414|10381
55294|55294
5467|5970
975|6418
4214|10049
51741|5914
6907|1499
1855|1499
9063|2908
1385|6722
2068|983
4728|11331
5290|6772
6934|7248
23411|3309
7046|7040
7494|7494
4609|3837
23291|7832
1017|57591
4170|3312
2152|2152
10755|5578
1130|57060
1020|7917
5074|6523
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
10728|7266
81628|79718
6944|3276
22955|8834
208|7249
4700|4724
7494|2648
5829|102
3320|8473
1956|5604
3688|7414
5747|7132
847|6786
3320|1613
207|2810
267|9131
51564|79718
80331|10273
7023|3148
975|4869
79084|6597
1386|306
7189|51135
10987|7001
5914|5469
1278|960
11151|7057
22976|51720
22954|29979
409|10381
7428|1856
1969|9525
10013|6249
5516|9448
7428|5580
5601|6470
196|4094
4609|4609
3611|79888
7159|3308
3661|2308
2060|3304
3398|5925
6272|10542
5352|23039
10952|3337
55145|5074
8945|55759
1017|8531
7023|8932
3655|3915
1642|4926
2908|10013
3065|3326
5663|348
3925|5568
409|6714
675|2316
8452|3308
3315|5898
23368|672
3309|6667
26524|4851
7528|351
3837|267
5728|3303
871|7171
4790|8837
3476|6286
6478|8554
10987|3858
1511|183
3312|4791
5966|801
5295|2033
3315|9588
118|667
2060|2534
1054|1017
9070|2033
1147|5499
2683|3728
7046|4087
1642|6772
23543|3202
1020|3326
5663|7046
23291|55759
5970|595
2885|835
93986|116113
5469|29079
6772|3654
1027|1019
10459|51343
7249|5747
7157|1958
3303|4627
498|93974
25932|5966
6498|51592
351|4609
10013|3320
7251|9146
10241|3142
5727|2683
54541|55183
10818|4915
51065|6188
8440|23043
1385|3066
7319|7319
7428|9821
11052|4076
4627|8767
9804|10452
51141|3303
5879|8411
57506|6772
5295|3265
5335|6714
56829|351
409|1019
409|5594
8266|11218
1017|7915
3315|6667
2885|6189
3611|2746
7428|1270
3146|3148
3326|7186
861|1387
55612|51119
8021|87178
328|1642
2752|10114
3313|351
10672|2185
3075|4088
1601|1855
351|4763
409|3312
10165|291
1051|1054
6667|23636
10379|10379
57154|2547
11331|11218
3265|8315
10728|2065
149041|7332
408|6093
23476|9440
23291|1020
3309|811
55696|5936
8445|9821
7157|83737
6497|3329
1385|1051
5716|3320
4790|4791
6497|79718
864|4851
10159|23770
472|79035
6272|54840
51474|55589
4976|664
311|7001
4000|4926
9531|3326
808|8717
8312|7248
4216|5604
10413|7533
6497|4691
5932|5932
3312|5217
3099|6720
11073|4683
2185|309
6045|7528
7428|6189
847|3295
5609|9479
3912|43
7415|118
2064|983
3276|1153
7453|7453
28996|28996
9282|29079
23043|23287
60485|26524
2192|10252
5599|23411
5300|55201
5747|10273
5310|9564
7155|983
9440|7157
7818|7067
581|255488
2885|3313
6259|2049
5581|8682
1856|3309
5460|5460
2885|3983
664|7052
10987|1153
1956|92609
310|7157
4790|801
9653|128869
6199|3303
5595|6667
5879|7410
4088|5371
8891|8531
4332|983
7428|1291
1017|7415
408|498
998|4294
2118|2629
4792|5610
1365|5566
9572|351
5604|2887
4869|3956
10381|55023
8452|83695
2355|3925
3299|3297
5970|9131
1432|8841
5499|1454
5603|4216
1020|55083
4086|4853
4087|93649
648|4830
4163|54205
128|351
1029|598
3075|7057
3320|405
7528|1387
3801|91949
11124|1650
9531|4678
10600|2353
4088|57680
3661|3843
5058|5879
4627|1601
2782|2534
8841|11331
23054|1387
4609|9968
5170|5604
7186|2081
3476|4282
4193|6597
7159|301
207|3337
5925|3065
4292|4728
5340|710
1616|4629
7319|966
672|2316
1948|8892
1956|808
4194|351
3315|3476
8751|23636
3066|3301
672|7168
79035|6742
3064|4294
6591|3065
5608|5970
10542|55183
5601|3726
2885|966
4609|7019
3717|5954
1717|3326
2752|204851
4628|4691
10458|10458
8841|2874
10131|4089
5058|10174
10114|1616
311|306
6881|6881
1017|2896
9531|10174
4792|4792
22955|22955
2316|960
1650|6194
10458|10006
4710|9804
10381|2885
25865|4086
4869|2034
3065|9070
1647|4616
3643|3643
4214|387
9577|7157
3516|55031
8440|10458
65018|7052
4597|4597
9412|9282
226|2739
5204|7716
112398|112398
1017|5604
6548|7132
3661|7187
1499|10498
10159|387
8021|8021
5594|5213
7879|5245
7703|22955
5460|7026
7184|3309
3065|5929
8452|2730
2931|4077
3845|8945
578|7337
3091|6714
989|5966
7415|572
54974|51100
1649|1051
9063|3725
5580|7037
3958|351
11331|6189
9618|1499
3925|5603
1499|4771
1432|572
226|6648
3956|26973
55752|7189
3309|5682
1029|3320
6045|801
4216|6711
2010|4000
3845|351
8841|7155
57506|6714
836|9191
3956|2969
23236|6711
10105|10277
23411|9611
5747|6714
7528|29844
2321|5335
4609|5601
1387|7157
11034|6280
1540|4646
10253|10252
9611|10155
3655|351
1017|16
2885|26999
334|5578
10013|22919
402|23568
27086|7157
2033|9500
4086|7508
5728|331
4436|8243
8837|4088
5936|2034
23191|3312
1017|1603
5599|3297
409|4691
7001|2956
9968|9968
4087|5601
472|6240
2316|4000
5566|5568
3320|16
8837|7157
55681|6189
10892|7189
22882|22882
9146|23636
4163|6801
7415|27338
836|637
7332|3308
148022|10498
4088|23214
9255|351
8452|23770
1499|604
847|351
7398|7398
324|4646
27086|27086
11128|10623
10013|2932
2734|4792
8945|10277
6286|8266
2908|2782
51366|7164
10987|23318
6714|1072
65123|58493
2908|5598
29079|29110
2926|7818
7168|7184
5213|5211
3837|5245
5316|6929
29979|2060
3309|10542
2011|23303
5585|5585
9079|51564
5371|5300
4292|8930
11284|23287
8772|8772
2885|5530
3654|9618
2896|51701
10580|4609
10163|8976
26060|3397
11140|6294
805|818
3726|672
57142|6714
7186|8772
5451|351
8452|3251
7132|5879
3163|2908
6647|55681
672|5970
51592|8861
1647|7917
10856|6502
4860|7157
6241|7251
2885|6294
2060|9146
26524|222484
5058|6615
3297|4831
4700|4728
3911|5340
9133|7048
3840|7052
3654|8772
8452|51119
3315|7157
1643|2547
5340|3315
8613|351
10498|10808
1386|9063
6850|5296
4086|9862
3064|2885
3092|5966
3326|3312
5295|153090
1385|818
983|3146
51741|26999
6199|3276
2810|3858
166|166
3313|9049
6648|7001
2494|5566
10273|7186
4734|6198
5911|5340
578|598
5702|2034
672|6597
10014|9588
2277|8754
6045|10527
4724|4710
27429|4976
6886|54892
6881|2648
10087|5587
4193|23451
29110|498
5287|6464
10458|26999
2033|4094
7295|23636
5594|5925
54872|351
8452|1798
409|3326
5728|1399
4292|9131
51141|29979
7132|808
648|92609
11124|11124
1130|9968
2885|5747
90780|207
1017|7533
5781|2185
3065|7431
5599|3725
604|6597
3280|3320
1956|8813
23368|2064
1956|8892
3958|5420
20|6667
2534|4690
219771|79084
5610|5610
7514|10801
28996|8717
6929|2033
409|6772
648|6733
5530|998
476|6188
3146|5578
10253|2885
7319|23304
5871|7186
28996|3065
3065|5087
4000|2547
10787|4690
4087|4090
9445|197131
4628|8766
9612|1051
4609|6742
4627|4791
51564|6907
2034|11331
1454|8312
4609|128239
149428|149428
23162|9479
1540|7189
11140|10273
4221|4221
5871|2547
7879|8766
84447|4627
351|2192
207|2033
55294|4644
7520|79840
6733|29116
302|351
2889|2885
57154|7431
6199|6188
3309|7186
4218|10938
11315|4722
3065|5914
835|4193
10766|10766
7067|8841
3099|5836
351|1191
4218|7037
2549|6464
91|57154
6199|4076
4092|4734
3309|3398
7184|9255
9025|10600
6453|5204
1642|6502
2932|23451
3727|4089
9968|29079
6667|9846
2033|208
4690|323
55366|22985
4790|7528
23028|3303
81628|23291
7023|9575
8315|8315
2908|7251
1147|805
6478|51196
7514|2932
7057|7422
3320|780
3309|4691
11124|3611
4734|1020
8945|3182
29079|2153
1032|595
9451|9451
9967|9969
10987|5580
8312|28996
7205|5747
10987|6194
196403|196403
1540|10013
6256|406
4088|9862
5682|9670
6667|5599
5074|5371
662|351
1647|197131
2040|5568
5911|9448
5058|961
3329|3688
79594|207
23327|7334
2033|5371
1017|55636
6901|4041
8452|5610
6774|4086
5581|1832
10159|8766
10628|3065
4830|6095
10987|5052
675|79184
3654|10273
3958|871
939|7187
29110|4791
8841|5087
23411|6720
3667|5291
1649|1386
672|9093
3621|3066
2081|7132
1017|7168
1385|9063
581|331
2648|4830
5728|5728
4170|8658
3612|5333
7186|8204
10938|8539
9479|5599
208|842
4627|64428
2908|6249
9500|9500
5970|9093
51429|51429
7514|55681
7013|4926
4831|25824
8841|4790
83737|5460
10006|1399
5499|25998
4609|23318
4869|4869
5300|6647
23673|113878
3725|408
5530|572
6774|3066
2969|4792
4089|4790
9657|871
10006|868
114609|5610
5578|7832
408|7533
23414|3065
29110|3665
8452|23451
672|1874
2885|3339
598|842
409|4214
5594|7132
51231|7251
4609|3066
7163|25932
2932|58526
10381|7018
207|6789
5451|4331
22985|6280
51720|79184
5499|23189
7536|7332
7046|9043
3313|7189
2335|16
3309|5728
6188|6194
11284|351
4851|9253
79084|4086
3396|10939
54205|598
4683|2956
2033|3516
7186|9821
10725|5335
1072|5052
4700|7917
1956|5594
5499|8493
3837|9862
7019|64216
6774|4332
1387|1385
672|285464
5300|2280
3611|8813
23633|3838
4088|1601
4297|5364
4170|637
9611|2874
80762|5728
5295|3717
4218|7917
4297|9575
2004|5204
51701|51701
5460|3146
22882|5604
5664|6717
5594|8649
989|9025
4087|476
23542|10939
4627|81844
324|1454
7520|4436
4076|7082
3303|5610
4700|4710
7132|7187
2734|4790
4193|5932
85363|22954
153090|207
1786|5883
30844|158
6198|983
7514|2309
64428|351
1017|6711
5300|1642
7428|2896
8751|6714
4780|10155
10856|26060
3726|334
2004|2885
2752|2885
998|6280
6885|9448
1893|3339
805|805
51684|8554
3295|6648
801|8767
2625|5469
207|8682
9093|10498
868|148022
1956|3303
1429|1429
1432|6464
7415|4926
6774|5970
7013|55971
10014|4830
6901|1292
6722|5970
1432|55031
7048|7189
3065|4609
6497|23411
409|6733
9531|9131
8829|8829
8737|54476
10494|6801
4824|10116
7186|7295
10987|6464
1385|7157
1454|4040
6497|3312
29979|51499
9564|1399
5516|55690
1956|27346
