EntrezGeneID1|EntrezGeneID2
10801|9217
1432|2004
11051|3066
1432|8945
5469|5469
10672|7046
5879|4627
3309|27000
23405|3329
5335|5921
4869|498
3275|6256
4627|54822
4771|6895
1017|3398
5747|1605
5747|4193
3654|3315
7415|1019
26574|1613
2537|351
6303|8525
4851|5664
4627|302
2040|2040
5599|6464
324|598
25855|351
79791|595
11218|23405
1017|9113
1147|8717
7184|10399
10399|6774
5594|7157
58|5879
1432|6774
7415|79058
1191|5444
1432|5371
2034|25942
6257|7415
6777|351
1147|9043
1831|3065
3065|2969
3065|7428
2878|34
5914|23411
6598|55636
9262|351
8682|8772
5530|6257
3315|23363
939|56913
1956|2274
7186|9994
6050|283
23433|57120
4830|983
5594|1978
3685|7040
23411|4092
55294|55294
5467|5970
6907|1499
2068|983
6934|7248
23411|3309
7046|7040
7494|7494
1017|57591
10755|5578
1130|57060
5499|6502
4609|2033
1432|1956
267|9131
7023|3148
975|4869
2274|10522
79084|6597
5914|5469
1969|9525
5601|6470
196|4094
4609|4609
3398|5925
6272|10542
5663|348
23368|672
3309|6667
26524|4851
7528|351
2739|2171
1054|1017
9070|2033
1147|5499
7046|4087
5663|7046
5970|595
1027|1019
498|93974
351|4609
51065|6188
7428|9821
409|1019
409|5594
1017|7915
3315|6667
351|4763
1051|1054
11331|11218
8445|9821
6497|3329
864|4851
4976|664
4000|4926
8312|7248
6497|4691
5932|5932
3099|6720
7428|6189
2064|983
7453|7453
28996|28996
60485|26524
5599|23411
5292|6502
581|255488
5879|7410
4088|5371
7428|1291
1017|7415
408|498
4193|6872
5970|9131
4087|93649
4163|54205
1029|598
7186|2081
4193|6597
5925|3065
1616|4629
672|7168
3717|6513
3717|5954
4628|4691
25942|7468
10114|1616
6881|6881
1017|2896
4869|2034
3065|9070
3643|3643
9577|7157
3516|55031
5594|5213
7184|3309
3065|5929
2931|4077
7415|572
54974|51100
7428|6513
3958|351
11331|6189
1499|4771
2274|7157
1432|572
23363|23363
836|9191
55366|71
7528|29844
2321|5335
4609|5601
334|5578
27086|7157
2033|9500
5728|331
8837|4088
1017|1603
409|4691
7001|2956
4087|5601
472|6240
8837|7157
836|637
9255|351
847|351
27086|27086
8945|10277
25942|5970
7168|7184
5213|5211
5316|6929
3309|10542
4292|8930
8772|8772
10580|4609
26060|3397
7186|8772
5451|351
672|5970
4860|7157
26524|222484
3654|8772
3315|7157
1285|3685
8525|3265
6648|7001
578|598
672|6597
27429|4976
2033|4094
5629|2033
5594|5925
54872|351
4292|9131
90780|207
3065|7431
5599|3725
1956|8813
23368|2064
219771|79084
28996|8717
6929|2033
5530|998
476|6188
28996|3065
9474|8772
4627|4791
23133|5914
51564|6907
2034|11331
4609|128239
149428|149428
23162|9479
84447|4627
351|2192
207|2033
302|351
3309|7186
3065|5914
835|4193
351|1191
3309|3398
7184|9255
2033|208
7057|7422
3309|4691
1032|595
9451|9451
8312|28996
6667|5599
662|351
3329|3688
79594|207
2033|5371
1017|55636
6901|4041
3958|871
23411|6720
3667|5291
672|9093
1017|7168
581|331
5728|5728
3612|5333
25942|51564
10938|8539
9479|5599
208|842
9500|9500
5970|9093
51429|51429
7013|4926
4869|4869
3725|408
5530|572
6774|3066
472|79791
23414|3065
672|1874
598|842
409|4214
4609|3066
207|6789
7046|9043
3309|5728
6188|6194
54205|598
4683|2956
2033|3516
7186|9821
1956|5594
5499|8493
672|285464
4170|637
4087|476
4193|5932
153090|207
30844|158
6198|983
5422|7157
7428|2896
2625|5469
207|8682
1429|1429
1432|6464
7415|4926
6774|5970
10014|4830
6901|1292
6722|5970
1432|55031
3065|4609
6497|23411
409|6733
9531|9131
8829|8829
7186|7525
672|2969
6667|4609
8945|25937
8945|4193
25942|25855
6194|7428
2064|6774
7415|3329
26060|3065
4609|2956
1499|3065
7048|1616
5728|7157
8694|8694
2068|2068
8805|5371
5728|8503
8451|7184
328|382
29844|29844
207|5578
9821|6497
27429|9113
2274|5991
8451|6188
323|538
55600|55600
331|836
10848|10848
8697|983
3092|55081
1051|7157
5154|6667
5018|5018
4000|1499
4087|4976
6497|6188
5601|207
5594|6464
5578|7431
4000|4000
6188|7186
2309|1499
334|5601
5830|5828
1147|5970
331|7332
5598|7157
1017|8450
572|665
5119|5119
81620|51343
1969|7046
672|7013
5991|5991
7050|3725
23236|5594
3064|1499
79084|4824
79594|79594
1119|351
4088|9191
4609|8985
5598|5371
51564|51564
4830|4830
10014|6885
3685|7057
5530|5728
3064|51100
23087|85363
637|578
222484|8503
4204|6497
3265|51196
5578|7157
6502|7528
9821|4217
10210|5879
5594|3091
7023|672
4869|23411
6502|1017
5296|351
23476|23210
5587|3725
10580|5747
1017|302
92140|10210
26524|7159
1956|7186
6732|5478
861|861
10818|10253
26524|324
1017|675
2308|23411
1909|4170
23363|3066
8451|8945
10014|5499
4088|57669
7168|7168
2274|2274
8717|8737
408|5478
4609|7157
10014|6188
3725|6872
4163|9255
10755|6513
7410|6733
4000|665
1029|4691
7168|29844
3065|6872
25923|498
10600|10600
29115|55145
3654|9500
11331|1717
1956|2040
2022|7043
51196|5333
1191|8462
6015|7157
207|208
5371|4869
25855|6872
1977|3329
328|328
5601|5601
5594|5970
54974|54974
328|3364
4609|79084
7013|54974
1718|51752
3775|3775
9531|51499
8451|4771
11331|5970
2736|6497
2033|2624
4088|672
4831|4831
3725|3065
23411|3066
6732|3915
4627|7168
207|8915
8930|8772
408|1909
861|5371
3364|5423
27086|93986
1289|5154
1831|4791
23405|23411
498|9255
56652|7168
4628|4628
4824|579
7001|351
598|23770
5879|8396
6868|1739
9821|5747
10114|8772
23363|4926
5929|8085
10399|6188
4217|6885
8451|23405
3643|8503
60485|9113
29127|29127
5978|25942
3329|498
7415|581
84447|7917
8451|2782
1017|3148
5970|5451
3397|2626
208|2309
4609|1051
1874|983
3643|5578
2624|5371
1029|6667
4000|4869
3685|1969
29072|7157
5290|8525
5929|6872
207|5140
5925|6670
4088|1499
7186|331
8717|7186
836|836
25942|10542
6464|302
3066|9070
5291|5728
2626|5469
23411|6188
672|983
5830|949
2947|9474
6667|7040
3612|51196
6934|2033
2625|4193
672|196
3398|5599
7186|7716
331|10572
1051|5598
4214|3092
29843|29843
4087|4091
7013|29115
1017|3309
23770|5530
28996|2033
6256|1499
7157|6794
23133|51343
7423|7423
4217|1616
6015|7528
2932|1978
29117|4609
2494|1499
23405|6188
26524|9361
409|302
4204|25942
8985|8985
5970|3066
5879|998
4791|1147
10818|10580
4627|3092
2171|9474
7157|5371
1956|3309
331|842
3275|6885
4831|2280
351|43
983|2305
7186|79594
7428|9217
1017|2308
10193|351
5663|7001
7431|57120
7050|5371
1956|51564
2878|847
2932|7428
331|9500
23414|3066
7159|2033
3066|328
23049|7157
5728|4628
578|581
1718|3265
7157|10848
2033|5970
7040|1616
55366|55159
3091|10399
207|9479
1956|9131
5499|5499
2321|5747
983|23411
2931|5311
3685|5594
