EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
1855|8312
10206|396
5604|8837
3339|351
5310|87
1432|2004
10664|3146
56254|51322
11051|3066
1432|8945
55294|29079
5469|5469
10014|7037
10672|7046
26227|2885
6602|64599
23081|3065
5879|4627
7514|2308
23405|3329
3915|3912
10933|3837
5335|5921
2885|2887
1499|5494
3275|6256
11051|55696
6729|6729
7879|57403
22955|8467
6871|10025
10987|8607
2288|10728
84661|10565
7319|1029
118|3398
4627|54822
4771|6895
51194|1810
1017|3398
2885|3329
3065|6883
4734|6189
3182|8626
6601|5978
1786|53615
7157|2648
2734|5966
9113|10413
4090|23451
5747|1605
51393|7442
4609|23085
8452|4976
86|79718
5747|4193
7157|51741
6045|55759
960|573
5467|8202
23394|6601
3654|3315
7514|23636
1647|983
9612|8202
10049|10013
5970|8986
3476|79840
26574|1613
166|55072
10458|55971
2537|351
5566|1385
2885|6764
6303|8525
6461|6714
6210|79084
55759|55759
4851|5664
2932|8517
2549|5829
6714|4133
1020|351
6714|5295
54583|6478
5871|6416
4627|302
26524|7533
124583|124583
3265|8036
25836|5538
2040|2040
324|8658
23411|5906
57332|57332
10488|638
4087|23557
10458|55740
5603|7157
5599|6464
8452|4722
3064|83737
5300|4303
51377|7295
8945|51741
7531|678
6478|6774
324|598
1937|4193
10013|22985
25855|351
30827|80335
10013|4615
83706|79753
11218|23405
5747|4678
55759|7514
8452|7072
5245|6189
3981|1278
10856|29110
10014|3837
8766|3064
1432|4209
6478|8841
6102|1454
10987|56254
3476|53615
4086|2648
57154|7186
9099|9361
4088|6601
1017|9113
1147|8717
1051|1387
7337|301
7184|10399
3301|4790
1786|30827
8725|55929
10399|6774
2648|6877
5594|7157
4088|3727
1453|1855
208|9545
4831|10856
8243|23476
22920|55696
10006|5296
6809|6809
7428|23032
3667|55023
3643|5580
23560|6189
1958|6647
444|5154
1432|6774
51366|2932
3958|5781
81542|7295
4824|7089
8726|8289
7531|3983
7132|9093
1432|5371
11315|204851
55366|4297
4790|5607
5581|6868
4193|57154
6777|351
2034|2010
1147|9043
5532|3313
1831|3065
10987|7186
8626|10399
2547|3064
57634|80314
6886|2547
1810|11091
3065|2969
5601|9031
3065|7428
7251|4193
4683|3843
5914|23411
328|6418
10933|86
29079|8878
3659|4193
83737|51429
8976|4690
29127|4294
5532|7942
9262|351
8517|396
23580|10801
8682|8772
3621|7157
5530|6257
7514|10856
5606|9479
3066|83933
9218|5245
23263|6194
6871|2648
6789|9218
7013|28988
1956|6850
939|56913
9063|9063
23515|54476
1856|8878
3065|3297
23291|10413
10155|5460
7186|10758
396|637
166|6733
1017|3146
7514|56243
112869|9910
7186|9994
6050|283
472|10155
5295|1969
5970|7052
26227|6453
5966|6500
10755|613
23433|57120
166|11030
1616|3276
8737|8517
3309|23636
672|23512
5716|8440
1832|5663
10728|7189
1454|5664
4615|4088
9344|5606
7514|6772
4616|983
6879|2118
3685|7040
2962|688
23411|4092
11091|51562
3091|613
7414|10381
55294|55294
5467|5970
975|6418
5829|84661
4214|10049
51741|5914
6907|1499
1855|1499
9063|2908
1385|6722
2068|983
4436|8517
5290|6772
7187|329
6733|8726
6934|7248
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
4609|3837
8850|10629
23291|7832
1017|57591
7072|5094
2335|10432
10755|5578
1130|57060
1020|7917
6275|23774
4609|2033
1432|1956
1017|3983
6789|23085
1956|5802
54764|57332
84661|87178
208|7249
8805|57332
7514|54623
1487|93986
7494|2648
6774|6778
5829|102
1956|5604
3688|7414
7431|11143
5747|7132
2309|57708
11143|27154
51564|79718
7023|3148
975|4869
79084|6597
1386|306
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22976|51720
409|10381
10765|6601
11091|9219
10919|9219
7428|1856
8626|10902
7428|5580
396|1967
5601|6470
196|4094
4609|4609
3661|2308
3398|5925
6272|10542
2624|6500
8945|55759
5879|10928
53615|3725
27005|9101
7023|8932
1017|5094
3655|3915
2908|10013
5663|348
7335|331
8440|23522
3925|5568
9101|6778
409|6714
6879|6879
675|2316
3315|5898
23368|672
3309|6667
26524|4851
7528|351
3837|267
4790|8837
8626|55294
56943|56970
5295|2033
123169|6879
118|667
1054|1017
9070|2033
2683|3728
7046|4087
1642|6772
23543|3202
9252|2908
5663|7046
23291|55759
5970|595
2885|835
93986|116113
5469|29079
23580|55752
6314|3912
6772|3654
6714|6778
8820|9612
2735|2735
7249|5747
7157|1958
1487|9063
25932|5966
6498|51592
351|4609
4851|5928
5727|2683
51065|6188
8440|23043
6045|57332
1385|3066
7319|7319
51111|51111
7428|9821
11052|4076
4627|8767
10919|6015
1499|8850
6310|55072
57506|6772
5295|3265
5335|6714
56829|351
409|5594
1017|7915
3315|6667
2885|6189
7428|1270
3146|3148
861|1387
55612|51119
51548|22948
8726|1072
8021|87178
328|1642
3313|351
56970|8464
1601|1855
351|4763
2885|6237
1051|1054
6667|23636
10379|10379
53615|80312
5906|396
57154|2547
11331|11218
7514|9219
3265|8315
10728|2065
8202|1147
408|6093
23476|9440
23291|1020
3309|811
55696|5936
8445|9821
7157|83737
4691|5094
6497|3329
1857|79753
79813|83852
1385|1051
23429|9191
4790|4791
6497|79718
864|4851
10159|23770
1627|667
4976|664
4869|497661
8312|7248
10933|672
4216|5604
10413|7533
6497|4691
11051|1627
22800|5900
123169|7319
8726|10801
23263|23451
6045|7528
7428|6189
5609|9479
3912|43
2064|983
6310|11030
4734|6500
7453|7453
28996|28996
9282|29079
6601|7251
23043|23287
54107|351
60485|26524
2192|10252
5599|23411
5300|55201
5245|1627
83547|83547
4983|5879
65057|1627
7155|983
4091|1487
9440|7157
79885|10049
581|255488
2885|3313
6259|2049
5581|8682
1856|3309
5460|5460
2885|3983
664|7052
3643|8878
1386|10972
4791|6500
10629|27097
148281|8567
23512|3983
5595|6667
4488|23598
5879|7410
10075|32
4088|5371
8726|5879
7428|1291
998|4294
2118|2629
65057|51119
5914|23512
1365|5566
4609|8878
9572|351
5604|2887
4869|3956
10381|55023
4193|6872
928|961
3299|3297
1432|8841
23512|6045
5603|4216
1020|55083
4086|4853
149428|23557
4087|93649
7531|23476
128|351
1029|598
1936|1937
7528|1387
3801|91949
6275|331
1984|6386
9531|4678
6883|9913
9252|1387
10664|351
9545|351
4088|57680
3661|3843
5058|5879
4627|1601
3476|22948
2782|2534
4665|6602
8841|11331
23054|1387
4609|9968
5170|5604
7186|2081
3476|4282
4193|6597
8767|8517
65057|677
7159|301
5925|3065
373|7324
688|6418
1616|4629
7319|966
672|2316
4087|6601
1948|8892
23414|5928
5515|4215
4194|351
3315|3476
1499|6500
8751|23636
3066|3301
3064|4294
6591|3065
5608|5970
1017|55689
5601|3726
2885|966
4628|4691
10458|10458
8841|2874
7917|51548
5058|10174
10114|1616
6881|6881
9531|10174
4792|4792
998|9230
23039|8517
22955|22955
1432|58508
2316|960
79885|3301
10458|10006
10381|2885
25865|4086
4869|2034
3065|9070
80335|11091
1647|4616
3643|3643
4214|387
9577|7157
8440|10458
65018|7052
2309|9181
5204|7716
1017|5604
3661|7187
5928|6602
1499|10498
10159|387
8021|8021
5594|5213
7879|5245
7703|22955
5460|7026
7184|3309
3065|5929
3845|8945
578|7337
3091|6714
989|5966
2023|43
54974|51100
1649|1051
9063|3725
8726|1788
5580|7037
3958|351
4690|6655
11331|6189
9618|1499
3925|5603
1499|4771
6794|79155
1432|572
55752|7189
5536|10672
2280|1487
4216|6711
2010|4000
56957|79155
373|5296
3845|351
8841|7155
57506|6714
836|9191
3956|2969
23236|6711
23411|9611
8850|2547
5747|6714
7528|29844
2321|5335
4609|5601
4000|9031
1387|7157
11034|6280
1540|4646
10253|10252
8878|444
9611|10155
9577|10342
3655|351
1017|16
2885|26999
334|5578
7324|4214
7514|9646
27086|7157
387893|5928
5728|331
1642|5928
4436|8243
8837|4088
5936|2034
7324|4734
7531|6885
1017|1603
5599|3297
409|4691
7001|2956
9968|9968
4087|5601
11091|6883
472|6240
2316|4000
5566|5568
1627|85458
6386|8408
8239|9020
8837|7157
55681|6189
7531|7514
998|23580
10892|7189
4163|6801
836|637
148022|10498
4088|23214
9255|351
8452|23770
1499|604
847|351
324|4646
58508|79813
27086|27086
11128|10623
10013|2932
6257|10621
2734|4792
11091|6601
2908|2782
3611|8607
51366|7164
10987|23318
6714|1072
2908|5598
353376|51135
29079|29110
5607|2023
5213|5211
3837|5245
5316|6929
3309|10542
2011|23303
5585|5585
9079|51564
5371|5300
4292|8930
79155|1147
8772|8772
23326|27097
2885|5530
3654|9618
10580|4609
6468|22948
9611|6602
10163|8976
26060|3397
3726|672
151636|3717
57142|6714
7186|8772
8452|3251
56943|6881
7132|5879
6647|55681
672|5970
5906|3065
51592|8861
1647|7917
10856|6502
4860|7157
6241|7251
2885|6294
26524|222484
6883|8467
5058|6615
3297|4831
7157|1487
3840|7052
3654|8772
253980|387
8452|51119
6929|8295
3315|7157
5908|9757
8613|351
1386|9063
6850|5296
4086|9862
3064|2885
3092|5966
7514|392
5295|153090
983|3146
51741|26999
8726|4627
5598|7531
8525|3265
4088|8850
166|166
2033|7392
8452|22836
6648|7001
23557|8943
79577|1499
578|598
672|6597
329|329
2277|8754
6045|10527
27429|4976
6881|2648
6601|6872
8878|9611
4193|23451
10458|26999
2033|4094
1956|7531
54556|3309
7295|23636
5594|5925
10856|9020
5728|1399
11124|11124
2023|3066
5204|10629
1487|5058
1130|9968
10155|6778
6500|8517
2885|5747
90780|207
1017|7533
3065|7431
5599|3725
604|6597
9646|10579
54623|9646
4163|8517
9230|5333
23368|2064
7514|26130
1956|8892
10856|10902
2534|4690
219771|79084
7514|10801
28996|8717
54880|84759
6929|2033
409|6772
648|6733
5530|998
3146|5578
10253|2885
7319|23304
5871|7186
28996|3065
3065|5087
1027|7531
4000|2547
10787|4690
4087|4090
4628|8766
9612|1051
8036|10075
4627|4791
23133|5914
51564|6907
2034|11331
1454|8312
4609|128239
149428|149428
23162|9479
1540|7189
23263|6210
4221|4221
5871|2547
7879|8766
1627|3728
84447|4627
351|2192
8726|1936
207|2033
55294|4644
302|351
2889|2885
2889|6655
2534|27154
57154|7431
3309|7186
4218|10938
11315|4722
3065|5914
835|4193
6733|79576
10766|10766
7067|8841
4193|79813
351|1191
4218|7037
2549|6464
91|57154
4092|4734
6722|9252
3309|3398
7184|9255
2023|6885
4086|8850
53615|8467
9025|10600
8517|5515
10075|3066
6453|5204
1642|6502
2932|23451
3727|4089
9968|29079
6667|9846
2033|208
4690|323
10014|5094
55366|22985
4790|7528
8315|8315
10783|10783
2908|7251
2335|5683
6478|51196
7514|2932
7057|7422
10342|6714
64786|5868
3309|4691
51377|1832
4627|7126
7186|7531
11124|3611
4734|1020
5536|7514
7189|56957
8945|3182
1032|595
9451|9451
9967|9969
10987|5580
8312|28996
7205|5747
10987|6194
196403|196403
1540|10013
6256|406
4088|9862
2962|6882
51026|998
6729|7518
6667|5599
5074|5371
9099|10616
662|351
7159|8626
1386|3875
2040|5568
5911|9448
5058|961
3329|3688
79594|207
5728|6386
1825|1499
2033|5371
2735|4087
1017|55636
4163|8260
6774|4086
5581|1832
1959|6722
10159|8766
54556|6502
23705|6386
10628|3065
10987|5052
675|79184
4869|2023
3958|871
54602|2534
939|7187
11052|6601
29110|4791
8841|5087
23411|6720
3667|5291
497661|6189
4488|5594
1649|1386
672|9093
5108|10458
3621|3066
2081|7132
1385|9063
9252|4790
10062|54556
581|331
8726|23435
5728|5728
4170|8658
3275|30827
7013|396
10938|8539
9479|5599
208|842
7013|1936
5970|9093
51429|51429
23186|23028
7514|55681
10919|7157
10919|58508
1017|10972
8841|4790
9913|9440
2969|5928
83737|5460
10006|1399
4609|23318
4869|4869
5300|6647
23673|113878
3725|408
5530|572
6774|3066
2969|4792
1627|4644
1030|8099
4089|4790
3054|6722
5578|7832
2735|7392
8625|11331
408|7533
23299|23299
23414|3065
29110|3665
7188|4217
8452|23451
672|1874
3092|9516
79577|58508
2885|3339
598|842
6722|80314
409|4214
5594|7132
51231|7251
2335|3936
4609|3066
29127|51773
4055|9618
10381|7018
207|6789
22985|6280
51720|79184
7046|9043
4193|51548
3313|7189
2335|16
3309|5728
6188|6194
1386|22948
4851|9253
79084|4086
4683|2956
51377|29844
2033|3516
7186|9821
10725|5335
1072|5052
2071|8850
1956|5594
3837|9862
1387|1385
672|285464
5300|2280
23633|3838
4088|1601
4297|5364
4170|637
9611|2874
80762|5728
5295|3717
4218|7917
2004|5204
2768|5578
51701|51701
5460|3146
989|9025
7337|7324
1676|5413
23542|10939
54556|57634
4627|81844
23291|8517
324|1454
7132|7187
27097|6871
1936|5716
2734|4790
153090|207
8878|1500
473|2033
54106|81622
30844|158
79631|573
10928|92
54602|4734
7514|2309
23429|7528
1017|6711
5300|1642
8751|6714
4780|10155
10856|26060
3726|334
2004|2885
23326|6871
9444|9444
8452|22948
998|6280
6885|9448
1893|3339
8766|9727
2625|5469
207|8682
9093|10498
1429|1429
1432|6464
7178|7178
6774|5970
7013|55971
6722|5970
2889|6574
7048|7189
3065|4609
6497|23411
409|6733
8829|8829
8737|54476
10494|6801
4824|10116
7186|7295
10987|6464
1385|7157
1454|4040
2023|8767
8850|8295
1936|5295
5781|79577
11331|6210
10342|5603
196|9612
54106|7096
9693|2040
672|2969
9612|8841
6667|4609
5170|3611
11218|9612
8945|25937
2065|7410
409|7531
5585|7186
2735|3065
7514|5936
1856|387
3655|6464
4194|2033
3720|10919
8945|4193
5525|8313
2962|3838
10758|7335
23411|22933
7132|5295
112939|54880
6194|7428
2064|6774
396|6714
1387|604
3837|3838
8452|7431
23390|5295
4790|1191
26060|3065
6314|9913
4609|2956
4217|11315
8202|57591
4193|10206
10626|351
6794|1967
5025|23534
6275|6275
2335|4691
1499|3065
1387|672
10919|4690
10075|5423
7048|1616
5728|7157
10155|51592
11052|6294
8467|9031
51548|302
1956|5573
389|7189
7337|302
1072|2023
2068|2068
6615|8945
5594|3845
8805|5371
10342|25836
328|382
5915|6258
5058|572
29844|29844
51562|2648
8452|23636
6210|9020
207|5578
7430|9368
2885|302
23411|406
7703|6015
10049|351
7703|6045
9821|6497
23673|10938
54476|7100
27429|9113
408|55681
4088|2547
811|351
23028|53615
55696|9092
8726|3148
323|538
331|836
5058|7431
10499|3091
2534|23028
10919|1487
23429|6500
207|25998
6883|9219
5908|11124
55366|56957
5335|2885
5580|7431
1051|7157
2768|9826
54623|56254
23028|6883
5154|6667
23054|22976
1739|4215
51741|3315
55201|567
4780|51322
5018|5018
7430|8767
4000|1499
55366|23513
1786|83852
10987|6189
10987|351
4089|5898
4087|4976
2045|2782
51026|966
6497|6188
5601|207
5594|6464
5578|7431
4000|4000
6188|7186
2309|1499
334|5601
10856|2885
1147|5970
2734|5970
5598|7157
55715|23028
394|5829
409|1072
23028|6880
2534|3655
1147|8239
84168|5609
5525|6464
672|405
1017|2950
572|665
1642|10987
9612|1874
8473|1399
5595|8021
11315|8772
5585|5929
23043|6885
7879|1072
1969|7046
6240|648
4853|3516
26999|10163
6256|6602
1627|4771
51562|9670
51144|5245
1601|7048
4691|55681
7159|80829
6045|2734
672|7013
5204|10342
7514|7126
6453|8867
2885|10342
3065|8467
2335|11331
7050|3725
23291|51366
23214|23636
23236|5594
22948|7514
