EntrezGeneID1|EntrezGeneID2
4790|79155
26039|6597
1855|8312
10206|396
5604|8837
1432|8945
10672|7046
5879|4627
23405|3329
5335|5921
1499|5494
4627|54822
4771|6895
2885|3329
4734|6189
7157|2648
4090|23451
5747|1605
51393|7442
4609|23085
10252|868
8452|4976
5921|309
5747|4193
960|573
3654|3315
3476|79840
26574|1613
10458|55971
2537|351
2885|6764
6461|6714
4851|5664
2932|8517
2549|5829
6714|4133
1020|351
5871|6416
4627|302
124583|124583
3265|8036
5603|7157
5599|6464
8452|4722
3002|1676
3064|83737
7531|678
324|598
1937|4193
25855|351
83706|79753
11218|23405
8452|7072
3981|1278
2771|5581
4086|2648
1147|8717
5594|7157
10006|5296
3643|5580
23560|6189
1958|6647
1432|6774
3958|5781
7132|9093
1432|5371
55366|4297
4790|5607
6772|3326
5581|6868
6777|351
8837|868
1147|9043
10987|7186
5914|23411
3659|4193
8976|4690
9262|351
6502|997
8517|396
8682|8772
5606|9479
23263|6194
7013|28988
1956|6850
1856|8878
7186|10758
1017|3146
7186|9994
10755|613
1616|3276
8737|8517
3309|23636
5716|8440
1832|5663
4615|4088
9344|5606
4616|983
3685|7040
23411|4092
3091|613
604|9170
55294|55294
4214|10049
6907|1499
1855|1499
2068|983
3002|7518
5290|6772
7187|329
23411|3309
1856|7126
7046|7040
8737|329
1017|57591
7072|5094
5683|5682
10755|5578
1130|57060
1020|7917
4609|2033
1432|1956
208|7249
5829|102
1956|5604
3688|7414
5747|7132
2309|57708
1386|306
7189|51135
10987|7001
1278|960
7428|1856
7428|5580
196|4094
4609|4609
3661|2308
6272|10542
1017|5094
3655|3915
5663|348
7335|331
409|6714
4292|9898
675|2316
23368|672
9516|29979
3309|6667
7528|351
4790|8837
1054|1017
9070|2033
2683|3728
7046|4087
1020|3326
5663|7046
2885|835
6772|3654
7249|5747
7157|1958
351|4609
10241|3142
5727|2683
51065|6188
8440|23043
7428|9821
4627|8767
57506|6772
5335|6714
56829|351
409|5594
3315|6667
2885|6189
3146|3148
3326|7186
351|4763
1051|1054
6667|23636
10379|10379
3265|8315
408|6093
3309|811
8445|9821
7157|83737
6497|3329
1857|79753
4790|4791
864|4851
10159|23770
4976|664
9531|3326
4216|5604
23263|23451
6045|7528
7428|6189
5609|9479
2064|983
7157|959
28996|28996
2192|10252
5599|23411
5310|9564
7155|983
581|255488
5581|8682
1856|3309
3643|8878
5595|6667
4088|5371
998|4294
4609|8878
9572|351
1432|8841
5603|4216
1020|55083
4086|4853
128|351
1029|598
1936|1937
6275|331
1984|6386
5058|5879
3476|22948
2782|2534
7186|2081
3476|4282
4193|6597
8767|8517
7159|301
1616|4629
3001|4722
672|2316
4194|351
3315|3476
3064|4294
5608|5970
5599|4773
2885|966
10458|10458
8841|2874
5058|10174
10114|1616
9531|10174
4792|4792
22955|22955
2316|960
10458|10006
25865|4086
3643|3643
4214|387
9577|7157
8440|10458
2309|9181
2771|302
112398|112398
1017|5604
3661|7187
23566|351
10159|387
7703|22955
7184|3309
3845|8945
3091|6714
3958|351
11140|8878
9618|1499
3925|5603
1499|4771
6794|79155
1432|572
3309|5682
5536|10672
56957|79155
3845|351
8841|7155
57506|6714
836|9191
23411|9611
5747|6714
7528|29844
4609|5601
10253|10252
9577|10342
3655|351
2885|26999
334|5578
2033|9500
5728|331
8837|4088
5936|2034
7531|6885
1017|1603
5599|3297
7001|2956
4087|5601
3113|972
2316|4000
6386|8408
8837|7157
998|23580
10892|7189
9255|351
8452|23770
1499|604
324|4646
11128|10623
10987|23318
6714|1072
353376|51135
5607|2023
4478|4853
5316|6929
3309|10542
5371|5300
4292|8930
79155|1147
8772|8772
2885|5530
3654|9618
10163|8976
8698|2768
57142|6714
7186|8772
8452|3251
7132|5879
672|5970
4860|7157
4773|4773
3654|8772
23295|4734
253980|387
8452|51119
3315|7157
8613|351
6850|5296
3064|2885
3092|5966
983|3146
8525|3265
578|598
672|6597
329|329
2277|8754
27429|4976
8878|9611
9531|5721
7188|11140
4193|23451
10458|26999
2033|4094
1956|7531
5594|5925
409|3326
5728|1399
11124|11124
2023|3066
2885|5747
604|6597
23368|2064
2534|4690
28996|8717
6929|2033
409|6772
1956|2771
5530|998
3146|5578
10253|2885
5871|7186
1027|7531
10787|4690
4087|4090
925|966
4627|4791
51564|6907
4609|128239
149428|149428
23162|9479
23263|6210
4221|4221
84447|4627
351|2192
207|2033
302|351
2889|2885
3309|7186
835|4193
7067|8841
351|1191
2549|6464
4092|4734
7184|9255
2023|6885
2932|23451
2033|208
4690|323
10014|5094
4790|7528
8315|8315
10783|10783
7057|7422
10342|6714
4627|7126
7186|7531
11124|3611
4734|1020
7189|56957
9451|9451
10987|5580
8312|28996
7205|5747
10987|6194
51026|998
6667|5599
5074|5371
662|351
5911|9448
5058|961
3329|3688
79594|207
5728|6386
2033|5371
1017|55636
6774|4086
5581|1832
23705|6386
10987|5052
3958|871
54602|2534
939|7187
29110|4791
8841|5087
497661|6189
672|9093
2081|7132
581|331
5728|5728
7013|396
9479|5599
4627|64428
7013|1936
9500|9500
5970|9093
8841|4790
10006|1399
4609|23318
5300|6647
5530|572
6774|3066
6774|26039
4478|3309
4089|4790
10006|868
5578|7832
29110|3665
7188|4217
8452|23451
3092|9516
409|4214
5594|7132
4609|3066
4055|9618
7046|9043
3309|5728
6188|6194
1386|22948
2033|3516
7186|9821
10725|5335
1072|5052
1956|5594
672|285464
5300|2280
9611|2874
80762|5728
2768|5578
5664|6717
4627|81844
7132|7187
1936|5716
153090|207
8878|1500
