EntrezGeneID1|EntrezGeneID2
57154|3309
5879|23568
1855|8312
10206|396
5604|8837
5310|87
55366|23310
56254|51322
55294|29079
5469|5469
7533|5062
10672|7046
26227|2885
6602|64599
396|226
23081|3065
5936|83939
23405|3329
3915|3912
10905|11253
5335|5921
4869|498
1019|1457
672|2355
2885|2887
3275|6256
6729|6729
10197|55689
153090|8454
7879|57403
22955|8467
9146|90390
6871|10025
10987|8607
2288|10728
84661|10565
5499|5568
7319|1029
22976|10111
1017|3398
2885|3329
3065|6883
6601|5978
1786|53615
7157|2648
11060|1605
5747|1605
51393|7442
4609|23085
10252|868
8452|4976
7415|51366
5921|309
86|79718
5747|4193
960|573
5467|8202
996|996
7415|1019
9181|10197
1270|3646
9612|8202
6198|8667
10049|10013
5970|8986
9978|3312
2537|351
5566|1385
2885|6764
3320|5871
5566|5705
4851|5664
2549|5829
6714|4133
975|27335
1020|351
5516|3476
6714|5295
5871|6416
26276|351
23133|55183
3265|8036
1017|6120
5914|6477
23411|5906
57332|57332
10488|638
4087|23557
6500|26234
3717|3320
1213|409
5599|6464
3065|3320
7444|5599
3064|83737
4899|23126
324|598
54556|8454
25855|351
30827|80335
10013|4615
79791|595
5747|4678
7415|5245
3981|1278
8766|3064
6102|1454
10987|56254
3476|53615
2771|5581
4086|2648
57154|7186
4088|6601
1051|1387
2067|6879
7337|301
7184|10399
1786|30827
23640|7186
3725|7443
9146|25777
10399|6774
2648|6877
5594|7157
4088|3727
1453|1855
208|9545
226|226
4831|10856
10987|9097
6809|6809
3667|55023
2132|2132
7415|79058
51366|2932
8726|8289
26270|8665
22916|51755
55366|4297
5581|6868
4193|57154
6777|351
8837|868
1969|1213
2034|2010
1147|9043
1831|3065
10987|7186
57634|80314
1810|11091
498|6199
5601|9031
3308|3337
5914|23411
3646|5058
10933|86
83737|51429
29127|4294
6502|997
4171|26973
3320|1019
3312|10808
9531|51022
207|23327
5606|9479
4171|4214
3066|83933
23263|6194
6871|2648
2353|351
7013|28988
3476|51247
79654|10892
1956|6850
9063|9063
23515|54476
23291|10413
1196|672
26973|2288
10155|5460
396|637
56652|6613
6386|6804
23512|92609
112869|9910
2081|9097
472|10155
5295|1969
4193|55967
26227|6453
7415|6500
10755|613
23433|57120
28988|5610
4830|983
1616|3276
8661|10452
3309|23636
30001|23640
672|23512
23327|79176
5716|8440
5594|1978
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
2332|23345
311|4282
6879|2118
4700|9519
1457|1965
3685|7040
23411|4092
11091|51562
3091|613
55294|55294
5467|5970
5829|84661
4214|10049
2316|7532
6907|1499
1855|1499
9063|2908
2068|983
4728|11331
6733|8726
6934|7248
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
8850|10629
23291|7832
1017|57591
4170|3312
2335|10432
10755|5578
6464|7175
1020|7917
23345|7040
5074|6523
5499|6502
4609|2033
1017|3983
6613|9219
10728|7266
6789|23085
6944|3276
1956|5802
22955|8834
84661|87178
208|7249
8805|57332
4700|4724
1487|93986
7494|2648
3320|8473
1956|5604
7431|11143
8668|4926
847|6786
11143|27154
975|6804
975|4869
79084|6597
10987|79791
10987|7001
5914|5469
1278|960
22976|51720
2241|2065
409|10381
10765|6601
4869|8663
11091|9219
10919|9219
8454|4193
5516|9448
396|1967
4609|4609
26270|80267
5108|23392
472|6477
2060|3304
3398|5925
6272|10542
8454|29127
10952|3337
55145|5074
2624|6500
5879|10928
53615|3725
27005|9101
1017|5094
3655|3915
1642|4926
2908|10013
3065|3326
5663|348
8440|23522
3925|5568
409|6714
6879|6879
675|2316
578|7416
8452|3308
4171|92609
3309|6667
7528|351
27161|4720
5728|3303
2885|51185
7157|6613
10987|3858
56943|56970
5295|2033
123169|6879
2060|2534
9070|2033
5224|5223
1147|5499
7046|4087
23543|3202
1020|3326
9252|2908
5663|7046
5970|595
5469|29079
2771|8668
10956|10488
6314|3912
26270|5705
1027|1019
10459|51343
1956|7327
1191|11130
7249|5747
1487|9063
498|93974
1739|23095
8295|8454
351|4609
10013|3320
4851|5928
1201|51144
54541|55183
8440|23043
6045|57332
1385|3066
7319|7319
4282|54984
51111|51111
23291|1213
9804|10452
10919|6015
6314|5705
1499|8850
51141|3303
5879|8411
5295|3265
7532|1198
5335|6714
405|9978
1956|5864
409|1019
409|5594
4171|10013
3326|7186
7416|7416
4085|4085
8726|1072
328|1642
56970|8464
11130|9183
1601|1855
351|4763
2885|6237
409|3312
10165|291
6667|23636
53615|80312
5906|396
7533|1198
3265|8315
10728|2065
8202|1147
23476|9440
23291|1020
3309|811
8445|9821
7157|83737
6497|3329
10645|805
79813|83852
1385|1051
5716|3320
10075|1738
3320|1457
6497|79718
864|4851
6272|54840
1627|667
4976|664
311|7001
4000|4926
9531|3326
8312|7248
10933|672
4216|5604
10413|7533
22800|5900
3312|5217
3099|6720
9804|7416
123169|7319
8726|1198
6045|7528
5609|9479
3912|43
2064|983
3276|1153
4734|6500
28996|28996
9282|29079
6804|8773
1457|7448
23043|23287
54107|351
5599|23411
196|9978
5300|55201
5245|1627
5747|10273
83547|83547
7013|4171
4983|5879
7155|983
5292|6502
2132|6623
9440|7157
79885|10049
26270|4830
1457|3065
581|255488
6259|2049
5581|8682
1856|3309
5460|5460
2885|3983
10629|27097
148281|8567
10987|1153
1956|92609
9653|128869
27248|51009
6199|3303
408|1213
23512|3983
5595|6667
3312|7416
5879|7410
4088|5371
8726|5879
1017|7415
408|498
998|4294
10036|6597
26270|10808
26272|26272
5914|23512
5604|2887
4869|3956
10381|55023
8452|83695
11059|4778
4193|6872
2355|3925
5499|1454
23512|6045
4086|4853
4087|93649
648|4830
382|5226
7323|4214
207|150684
1029|598
3320|405
7528|1387
6792|23499
9531|4678
8663|8664
10600|2353
6883|9913
9252|1387
10664|351
9545|351
4088|57680
9618|11059
5058|5879
23126|10459
2782|2534
4665|6602
25842|5499
4171|9221
8841|11331
23481|23481
4609|9968
7186|2081
3476|4282
4193|6597
25898|5429
207|3337
5925|3065
373|7324
1457|9646
7327|267
672|2316
5925|996
4087|6601
8454|55904
1956|808
23414|5928
4609|8454
1499|6500
3066|3301
8661|3646
672|7168
3064|4294
5608|5970
10542|55183
351|5864
1017|55689
3717|6513
5601|3726
2885|7532
4609|7019
4171|3306
1717|3326
5245|8663
8841|2874
7917|51548
5058|10174
10114|1616
311|306
6881|6881
1017|2896
9531|10174
1017|4171
998|9230
22955|22955
2316|960
79885|3301
4710|9804
10381|2885
25865|4086
6310|3308
4869|2034
3065|9070
80335|11091
3320|26058
7410|23126
3643|3643
51141|10213
4214|387
9577|7157
226|2739
1956|14
2771|302
1017|5604
5928|6602
1499|10498
10159|387
5594|5213
5062|6194
7879|5245
7703|22955
5460|7026
51701|8454
7184|3309
3065|5929
8452|2730
3845|8945
578|7337
3091|6714
10808|3306
1956|7443
7415|572
26130|22821
9063|3725
8726|1788
4690|6655
55669|891
9618|1499
1499|4771
1457|55145
7879|5119
8726|7175
226|6648
3956|26973
2280|1487
51548|3306
1029|3320
9693|3832
6045|801
2010|4000
150684|331
373|5296
3845|351
8841|7155
3832|79718
498|8662
10105|10277
23411|9611
5747|6714
4609|5601
4000|9031
1387|7157
10253|10252
9611|10155
3655|351
1017|16
7324|4214
402|23568
27086|7157
2033|9500
4086|7508
387893|5928
5728|331
1642|5928
8665|1981
8837|4088
57154|10540
5499|6500
5936|2034
10213|10197
7324|4734
23191|3312
1017|1603
7001|2956
116143|5499
9968|9968
4087|5601
11091|6883
2316|4000
5566|5568
1627|85458
6386|8408
3320|16
8837|7157
8665|4851
998|23580
10892|7189
22882|22882
1457|9049
9146|23636
7415|27338
836|637
8454|1153
9255|351
26256|3725
5062|6500
1499|604
847|351
7398|7398
324|4646
58508|79813
27086|27086
10013|2932
8726|9221
8945|10277
11091|6601
2908|2782
1965|836
51366|7164
22916|4686
10987|23318
6714|1072
1487|3303
302|3646
7168|7184
5213|5211
3309|10542
2011|23303
5585|5585
5371|5300
8664|27335
11284|23287
23326|27097
2885|5530
3654|9618
2896|51701
7844|7415
1027|8454
10580|4609
10460|3832
373|84919
9611|6602
26060|3397
2954|7186
805|818
3726|672
151636|3717
57142|6714
4763|9519
3308|5928
8452|3251
56943|6881
6613|6613
10075|10213
672|5970
5906|3065
10856|6502
4860|7157
2885|6294
2060|9146
648|10270
6883|8467
7157|1487
4700|4728
253980|387
8452|51119
6929|8295
5908|9757
23327|997
10498|10808
8607|6944
6850|5296
11059|7323
4086|9862
3064|2885
3326|3312
5295|153090
1385|818
1457|4205
3320|6871
6199|3276
54962|4171
8525|3265
4088|8850
2033|7392
8452|22836
6648|7001
79577|1499
10273|7186
4734|6198
578|598
672|6597
10014|9588
26270|391
329|329
4724|4710
27429|4976
6881|2648
6601|6872
5287|6464
54556|3309
5594|5925
409|3326
55294|9978
309|8662
4171|7323
648|92609
1487|5058
1130|9968
57154|5705
2885|5747
1017|7533
3065|7431
5599|3725
79577|3320
604|6597
4171|10381
9646|10579
3280|3320
29079|10540
54623|9646
1956|8892
10856|10902
2534|4690
5610|5610
54880|84759
6929|2033
1956|2771
648|6733
5530|998
10253|2885
7319|23304
2288|10869
5871|7186
28996|3065
3329|8668
7323|2060
10787|4690
3476|6613
4628|8766
9612|1051
4609|6742
8036|10075
23133|5914
2034|11331
1454|8312
4609|128239
23162|9479
4221|4221
7879|8766
10580|5062
207|2033
55294|4644
302|351
2889|2885
2889|6655
2534|27154
57154|7431
3309|7186
1017|1968
23345|5936
3065|5914
4193|79813
351|1191
1977|7189
2549|6464
91|57154
6199|4076
4092|4734
8667|3646
3309|3398
7184|9255
23|79718
4086|8850
53615|8467
9025|10600
10075|3066
6310|9898
1642|6502
3300|538
1457|23338
9968|29079
10116|9978
6667|9846
2033|208
4690|323
10014|5094
23028|3303
1981|5062
8315|8315
10783|10783
1147|805
7057|7422
3320|780
64786|5868
1965|8891
4734|1020
1032|595
9451|9451
9967|9969
7415|9230
8312|28996
10987|6194
23345|23560
4088|9862
54431|9695
55746|672
6729|7518
6667|5599
5074|5371
5911|9448
3329|3688
5664|320
79594|207
5728|6386
23327|7334
2033|5371
6901|4041
8452|5610
11160|3308
6774|4086
26270|3304
10159|8766
8664|8666
54556|6502
10628|3065
4830|6095
10987|5052
675|79184
3654|10273
2131|2132
6047|6613
23411|6720
3667|5291
10075|3308
672|9093
1017|7168
1385|9063
10062|54556
581|331
2648|4830
5728|5728
3275|30827
997|8454
7013|396
3646|7431
9479|5599
208|842
9500|9500
5970|9093
51429|51429
23186|23028
7013|4926
10919|7157
10919|58508
1017|10972
4831|25824
25777|5568
9913|9440
83737|5460
5499|25998
4609|23318
4869|4869
5300|6647
3725|408
5530|572
6774|3066
1942|6613
3029|5052
1457|2997
3708|11160
1627|4644
54984|7013
6194|9669
472|79791
114609|5610
5578|7832
8625|11331
408|7533
23299|23299
1019|3832
11011|11011
23414|3065
54984|801
79577|58508
598|842
409|4214
9070|5705
10159|11060
4609|3066
29127|51773
10381|7018
207|6789
11060|997
975|3008
51720|79184
1457|405
7046|9043
1831|7341
4193|51548
2335|16
3309|5728
5581|7416
7532|5295
11284|351
4851|9253
79084|4086
10273|7324
3396|10939
55294|2332
4683|2956
3300|3312
7186|9821
1072|5052
4700|7917
2071|8850
1956|5594
7019|64216
10155|7323
1387|1385
8662|6194
4171|3309
5300|2280
4088|1601
2335|27335
4297|5364
4170|637
3008|4690
9611|2874
80762|5728
5295|3717
4218|7917
27335|8663
2768|5578
51701|51701
22882|5604
5664|6717
8892|23
4869|10197
7337|7324
23542|10939
23560|23212
54556|57634
324|1454
10270|10856
3303|5610
4700|4710
27097|6871
153090|207
3091|9978
1977|10273
473|2033
1627|818
79631|573
6198|983
10928|92
6613|3303
1017|3832
23429|7528
10051|3981
5300|1642
4780|10155
1196|6386
10856|26060
23326|6871
6885|9448
805|805
10497|6804
801|8767
8766|9727
2625|5469
207|8682
9093|10498
3320|84759
7324|6047
1956|3303
6045|1965
5292|5300
7415|4926
6774|5970
10956|51009
10014|4830
7048|7189
3065|4609
6497|23411
409|6733
8829|8829
8737|54476
4824|10116
1017|2946
10987|6464
1385|7157
1454|4040
6497|3312
8850|8295
4869|3646
10540|81929
5781|79577
4163|8664
595|996
196|9612
10658|351
7186|7525
4720|374291
9612|8841
6667|4609
8452|488
2065|7410
5585|7186
1856|387
3655|6464
8454|4686
1856|7525
3720|10919
3306|5693
8945|4193
23411|22933
2064|6774
3476|93100
396|6714
1387|604
7818|1453
1385|6196
7525|9846
7415|3329
8452|7431
4171|6500
26060|3065
6314|9913
1857|10197
4609|2956
4217|11315
8202|57591
4193|10206
7157|23481
10273|7415
10626|351
3320|7046
7186|801
23049|8607
6794|1967
2316|5499
3320|6196
1499|3065
1387|672
10919|4690
5025|9653
10075|5423
2060|8867
7048|1616
5728|7157
8467|9031
51548|302
9918|64151
7337|302
8694|8694
2068|2068
3925|54984
2060|9253
