EntrezGeneID1|EntrezGeneID2
4790|79155
26039|6597
6498|7329
5879|23568
1855|8312
9775|5978
10206|396
10577|4864
5604|8837
10801|9217
5310|87
55366|23310
1432|2004
10664|3146
56254|51322
11051|3066
1432|8945
5469|5469
10014|7037
10672|7046
6602|64599
5501|351
23081|3065
5879|4627
3309|27000
23405|3329
3915|3912
84687|5499
10933|3837
5335|5921
9516|23327
4869|498
2885|2887
1499|5494
3275|6256
11051|55696
6729|6729
7879|57403
22955|8467
10987|8607
513|509
2288|10728
84661|10565
7319|1029
118|3398
4627|54822
22976|10111
4771|6895
6492|3320
51194|1810
1017|3398
2885|3329
3065|6883
4734|6189
6601|5978
1786|53615
7157|2648
9113|10413
6733|7957
5747|1605
51393|7442
4609|23085
10252|868
8452|4976
5921|309
86|79718
5747|4193
7157|51741
6045|55759
960|573
5467|8202
23394|6601
3654|3315
996|996
56897|5424
1213|4790
1647|983
9612|8202
8451|8467
10049|10013
5970|8986
3476|79840
26574|1613
166|55072
10458|55971
2537|351
2885|6764
3320|5871
54984|7430
6303|8525
6461|6714
6210|79084
55759|55759
4851|5664
2932|8517
2549|5829
6714|4133
1020|351
5333|801
6714|5295
54583|6478
5871|6416
3054|3320
4627|302
5130|9025
4221|25942
124583|124583
25836|5538
2040|2040
324|8658
23411|5906
57332|57332
10488|638
10458|55740
3717|3320
5603|7157
1213|409
5496|3925
5599|6464
8452|4722
3065|3320
3064|83737
5300|4303
51377|7295
1022|2068
8945|51741
7531|678
6478|6774
324|598
1937|4193
10013|22985
25855|351
30827|80335
10013|4615
83706|79753
79791|595
11218|23405
5747|4678
8452|7072
5245|6189
3981|1278
10856|29110
10014|3837
4869|5501
8766|3064
6478|8841
6102|1454
10987|56254
3476|53615
4086|2648
7957|1967
9099|9361
4088|6601
1017|9113
1147|8717
1051|1387
7337|301
7184|10399
1786|30827
8725|55929
10399|6774
2648|6877
5594|7157
4088|3727
1453|1855
4831|10856
8243|23476
2034|56897
22920|55696
10987|81620
7428|23032
3667|55023
3643|5580
23560|6189
23020|23020
1958|6647
1432|6774
6732|8531
51366|2932
514|93974
81542|7295
4824|7089
1191|5444
4651|805
7428|4176
7531|3983
7132|9093
1432|5371
11315|204851
2034|25942
55366|4297
4790|5607
5581|6868
6777|351
8837|868
1969|1213
2034|2010
1147|9043
1831|3065
10987|7186
8626|10399
2547|3064
57634|80314
6886|2547
1810|11091
3065|2969
498|6199
5601|9031
3065|7428
7251|4193
1642|6612
4683|3843
5914|23411
328|6418
6598|55636
10933|86
3659|4193
83737|51429
8976|4690
29127|4294
5532|7942
9262|351
3320|1019
8517|396
23580|10801
8682|8772
3621|7157
641|7329
207|23327
5606|9479
3066|83933
9218|5245
23263|6194
6871|2648
2353|351
6789|9218
3801|10540
1956|6850
939|56913
9063|9063
7013|5496
23515|54476
1856|8878
3065|3297
23291|10413
4055|9217
7186|10758
396|637
56652|6613
166|6733
1017|3146
23512|92609
112869|9910
10055|16
2335|5976
7186|9994
6050|283
5295|1969
5966|6500
10755|613
79784|54623
23433|57120
4176|7337
166|11030
1616|3276
8737|8517
3309|23636
672|23512
23327|79176
5716|8440
5594|1978
1832|5663
801|6249
10728|7189
1454|5664
4615|4088
9344|5606
2335|9775
4616|983
51588|3661
4331|2967
311|4282
5500|3983
6879|2118
3685|7040
7919|9063
8626|10277
23411|4092
11091|51562
509|9551
8450|23348
3091|613
7414|10381
55294|55294
5467|5970
975|6418
5829|84661
4214|10049
51741|5914
7529|10787
6907|1499
1855|1499
9063|2908
1385|6722
2068|983
4436|8517
5290|6772
7187|329
6733|8726
6934|7248
240|5594
23411|3309
7046|7040
8737|329
7494|7494
4609|3837
8850|10629
23291|7832
1017|57591
4170|3312
7072|5094
5683|5682
2335|10432
10755|5578
1130|57060
6464|7175
1020|7917
6275|23774
5074|6523
9564|5770
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
6613|9219
7027|1387
6789|23085
8452|8450
10592|25942
1956|5802
54764|57332
84661|87178
208|7249
8805|57332
1487|93986
7494|2648
6774|6778
5829|102
3320|8473
1956|5604
3688|7414
5747|7132
2309|57708
5500|1029
4163|23020
847|6786
11143|27154
3320|1613
51564|79718
7023|3148
975|4869
79084|6597
2353|5536
1386|306
10987|79791
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
22976|51720
409|10381
10765|6601
11091|9219
10919|9219
7428|1856
1969|9525
10013|6249
5460|5478
8626|10902
7428|5580
396|1967
5601|6470
196|4094
4609|4609
1653|5971
3661|2308
3398|5925
6272|10542
5087|5089
2624|6500
8945|55759
5879|10928
53615|3725
1017|8531
7023|8932
1017|5094
3655|3915
1642|4926
2908|10013
5663|348
7335|331
8440|23522
409|6714
6879|6879
4292|9898
675|2316
3315|5898
23368|672
3309|6667
26524|4851
3837|267
4790|8837
3476|6286
7157|6613
8626|55294
6478|8554
10987|3858
56943|56970
5966|801
5295|2033
123169|6879
118|667
1054|1017
9070|2033
1147|5499
2683|3728
7046|4087
1642|6772
9252|2908
5663|7046
23291|55759
5970|595
2885|835
93986|116113
23580|55752
6314|3912
6772|3654
6714|6778
11104|51750
8820|9612
1027|1019
1020|5771
1191|11130
7249|5747
7157|1958
1487|9063
498|93974
1739|23095
25932|5966
9775|4089
351|4609
10013|3320
4851|5928
7251|9146
5727|2683
51065|6188
8440|23043
6045|57332
1385|3066
7319|7319
4282|54984
51111|51111
7428|9821
55294|5500
11052|4076
23291|1213
4627|8767
10919|6015
1499|8850
6310|55072
5971|6598
57506|6772
5295|3265
