EntrezGeneID1|EntrezGeneID2
4790|79155
57154|3309
5879|23568
5300|81628
1855|8312
9775|5978
10206|396
10577|4864
5604|8837
3339|351
10801|9217
5310|87
55366|23310
5110|7077
149041|7327
6259|5591
1432|2004
10664|3146
56254|51322
11051|3066
1432|8945
246184|51434
2118|4811
5469|5469
10014|7037
7533|5062
10672|7046
26227|2885
6602|64599
2624|161882
396|226
55832|1832
5501|351
23081|3065
5879|4627
7514|2308
2074|55832
7412|16
695|498
8775|8675
23405|3329
3915|3912
84687|5499
10933|3837
10905|11253
5335|5921
9516|23327
5894|598
4869|498
1650|3703
1019|1457
672|2355
2316|71
2885|2887
1499|5494
3275|6256
11051|55696
6729|6729
153090|8454
7879|57403
22955|8467
10987|8607
513|509
2288|10728
84661|10565
5499|5568
7319|1029
118|3398
4627|54822
22976|10111
4771|6895
6492|3320
51194|1810
1017|3398
2885|3329
3065|6883
10419|291
4734|6189
6601|5978
1786|53615
7157|2648
2734|5966
11060|1605
9113|10413
9131|3303
11034|25824
6733|7957
5747|1605
51160|613
11236|3638
51393|7442
4609|23085
6352|1230
10252|868
8452|4976
10938|5591
7415|51366
5921|309
86|79718
7412|8775
5747|4193
23363|8607
7157|51741
4700|4722
7322|2060
14|10076
960|573
5467|8202
23394|6601
648|11171
3654|3315
7514|23636
4627|3710
996|996
7415|1019
1213|4790
54778|7508
5501|7415
1647|983
4734|7322
6772|9559
9612|8202
9218|4720
10049|10013
5970|8986
9978|3312
3476|79840
26574|1613
166|55072
10458|55971
2537|351
26270|3074
5566|1385
2885|6764
3320|5871
54984|7430
5062|5683
6303|8525
6461|6714
3861|10152
7157|5110
5566|5705
6210|79084
2932|6622
4851|5664
2932|8517
2549|5829
4778|5195
3171|1832
3661|64750
6714|4133
1020|351
5516|3476
10325|64121
5333|801
6714|5295
54583|6478
5871|6416
2810|3875
3054|3320
26276|351
23390|8675
4627|302
23363|4361
26524|7533
5130|9025
124583|124583
3868|112869
6622|55031
7322|115426
7917|710
57154|3622
3265|8036
1017|6120
25836|5538
5914|6477
3815|5795
51548|2317
2040|2040
324|8658
23411|5906
57332|57332
10488|638
4087|23557
6500|26234
7322|23295
10458|55740
55743|6596
3717|3320
7324|11342
5603|7157
1213|409
5496|3925
5599|6464
8452|4722
3065|3320
7444|5599
3064|83737
5300|4303
2885|5930
51377|7295
6208|6223
1022|2068
2730|3665
8945|51741
7531|678
4899|23126
6478|6774
5579|960
114609|695
6045|2317
324|598
5591|5052
1937|4193
81559|7322
10013|22985
54556|8454
25855|351
6917|2962
30827|80335
10013|4615
83706|79753
5595|6548
79791|595
11218|23405
5747|4678
7415|5245
8452|7072
5108|55081
5245|6189
9463|57159
3981|1278
10856|29110
10014|3837
4869|5501
8766|3064
1432|4209
3486|960
5663|4846
6478|8841
1153|7094
5701|5693
6102|1454
10987|56254
3476|53615
2771|5581
4086|2648
7957|1967
7322|26994
57154|7186
201294|4000
9099|9361
4088|6601
1017|9113
3065|8360
1147|8717
1051|1387
2067|6879
7337|301
7184|10399
3301|4790
23363|81
1786|30827
23640|7186
8725|55929
3725|7443
10399|6774
2648|6877
5594|7157
58|5879
4088|3727
1453|1855
208|9545
226|226
4831|10856
8454|3868
8243|23476
26270|5538
4086|58533
2034|56897
10987|9097
22920|55696
23363|3276
7132|8363
6809|6809
6468|8454
7428|23032
3667|55023
57154|10188
3643|5580
23560|6189
5728|2047
23020|23020
1958|6647
444|5154
1432|6774
7415|79058
23363|7341
6732|8531
51366|2932
7532|673
514|93974
3958|5781
81542|7295
6733|9648
8503|695
2935|382
4824|7089
1788|130557
1191|5444
4651|805
2185|6774
57154|5518
156|5603
7428|4176
5768|7322
7531|3983
7132|9093
1432|5371
11315|204851
6257|7415
55366|4297
4790|5607
6772|3326
5581|6868
4193|57154
6777|351
7412|2782
8837|868
1969|1213
2034|2010
1147|9043
5532|3313
4292|5887
1831|3065
10987|7186
2547|3064
2243|5581
3313|3312
57634|80314
6886|2547
1810|11091
3065|2969
498|6199
5601|9031
3065|7428
2878|34
7251|4193
29116|81628
3308|3337
4683|3843
5914|23411
328|6418
6598|55636
10933|86
3659|4193
27346|6814
83737|51429
26259|23363
8976|4690
29127|4294
5532|7942
9262|351
6502|997
3320|1019
8517|396
23580|10801
3312|10808
7273|7416
8682|8772
9693|554313
3621|7157
9531|51022
5530|6257
5579|983
7514|10856
3315|23363
5594|6640
207|23327
5606|9479
336|8694
2885|3868
3066|83933
29116|7334
9218|5245
23263|6194
6871|2648
2353|351
6789|9218
3801|10540
7013|28988
79654|10892
1956|6850
939|56913
7013|5496
23515|54476
8751|7525
4218|6622
1856|8878
207|3551
3065|3297
23291|10413
1196|672
4055|9217
26973|2288
10155|5460
7186|10758
396|637
56652|6613
166|6733
1017|3146
5052|51
7514|56243
1956|2274
23512|92609
112869|9910
2081|9097
695|506
7529|51599
2335|5976
2|4846
7186|9994
6050|283
472|10155
5295|1969
5970|7052
4193|55967
408|8361
26227|6453
7415|6500
5966|6500
10755|613
79784|54623
23433|57120
10987|8365
7412|4627
4176|7337
28988|5610
166|11030
4830|983
23512|5339
1616|3276
8737|8517
3309|23636
30001|23640
672|23512
23327|79176
5716|8440
5594|1978
1832|5663
801|6249
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
2335|9775
7514|6772
4616|983
7094|9898
6732|5170
2771|4691
6389|4729
4331|2967
311|4282
5500|3983
6772|55832
55832|8360
6879|2118
4700|9519
1457|1965
3685|7040
23411|4092
11091|51562
509|9551
3091|613
604|9170
7414|10381
55294|55294
5467|5970
4851|51434
22985|51504
975|6418
5829|84661
4214|10049
267|23295
7412|4691
51741|5914
5058|10472
2316|7532
7529|10787
6907|1499
1855|1499
4088|64219
1312|9156
1385|6722
2068|983
1827|7189
4436|8517
4728|11331
5290|6772
7187|329
2690|5780
6733|8726
6934|7248
240|5594
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
4609|3837
8850|10629
23291|7832
1017|57591
4170|3312
7072|5094
5683|5682
2335|10432
2162|2335
10755|5578
1130|57060
6464|7175
1020|7917
6275|23774
5074|6523
9564|5770
5499|6502
4609|2033
1432|1956
6045|5289
1017|3983
6613|9219
10728|7266
6789|23085
51451|5516
3190|7157
81628|79718
1956|5802
22955|8834
7804|10755
54764|57332
84661|87178
208|7249
8805|57332
7514|54623
4700|4724
1022|2
7324|10425
1487|93986
7412|6223
6389|9093
7494|2648
6774|6778
5829|102
3320|8473
1956|5604
3688|7414
7431|11143
5747|7132
2309|57708
5500|1029
4163|23020
1017|7273
847|6786
11143|27154
3320|1613
207|2810
267|9131
51564|79718
80331|10273
8078|5320
7023|3148
975|4869
2274|10522
79084|6597
2353|5536
7412|8359
3383|6208
1386|306
10987|79791
1540|142678
7189|51135
10987|7001
5914|5469
1278|960
11151|7057
22976|51720
22954|29979
2241|2065
409|10381
10765|6601
11091|9219
10919|9219
7428|1856
1969|9525
10013|6249
5460|5478
51377|8361
5970|7412
8454|4193
5516|9448
7428|5580
396|1967
5601|6470
2|22976
196|4094
51257|7328
4609|4609
3611|79888
26270|80267
23390|79654
5108|23392
7159|3308
3661|2308
472|6477
2060|3304
3398|5925
6272|10542
5352|23039
8454|29127
10952|3337
55145|5074
4090|7844
3093|7428
2624|6500
207|5730
5879|10928
53615|3725
58|7187
1017|8531
27005|9101
7023|8932
1386|7416
55294|29886
1017|5094
3655|3915
1642|4926
2908|10013
3065|3326
5663|348
7335|331
90678|3297
8440|23522
3925|5568
9101|6778
409|6714
6879|6879
4292|9898
675|2316
2208|3687
578|7416
11143|8361
8452|3308
3315|5898
23368|672
9516|29979
10013|8359
3309|6667
26524|4851
7528|351
3837|267
5728|3303
871|7171
4790|8837
2885|51185
7157|6613
6478|8554
10987|3858
56943|56970
10856|1785
3312|4791
5966|801
5295|2033
3315|9588
123169|6879
118|667
2060|2534
1054|1017
9070|2033
5224|5223
1147|5499
4067|836
10196|7415
7321|8239
9218|10452
2683|3728
6733|55832
1785|6386
7412|3040
10572|27
7046|4087
1642|6772
1020|3326
7412|5908
9252|2908
5663|7046
5970|595
2885|835
93986|116113
23580|55752
335|2335
10956|10488
6314|3912
26270|5705
6772|3654
6714|6778
11104|51750
156|31
2885|8365
8820|9612
1027|1019
1020|5771
10459|51343
2810|9101
1956|7327
1191|11130
8517|51256
2243|5590
7249|5747
801|5724
7157|1958
3303|4627
498|93974
1739|23095
25932|5966
7419|509
6498|51592
8295|8454
9775|4089
351|4609
10013|3320
4851|5928
7251|9146
10241|3142
1201|51144
8099|9463
5727|2683
51322|7094
10818|4915
51065|6188
1616|8364
8440|23043
6045|57332
1385|3066
7319|7319
1432|81
4282|54984
51111|51111
7428|9821
55294|5500
11052|4076
23291|1213
4627|8767
9804|10452
10919|6015
2107|8894
6314|5705
5925|5894
1499|8850
51141|3303
6310|55072
5879|8411
57506|6772
5295|3265
7532|1198
5335|6714
405|9978
56829|351
409|1019
409|5594
2054|27230
10111|4691
5886|9648
509|7416
1017|7915
2054|8675
3315|6667
2885|6189
3611|2746
7428|1270
150684|5966
3146|3148
3326|7186
7416|7416
861|1387
55612|51119
4085|4085
51548|22948
8726|1072
8021|87178
328|1642
149041|7124
2752|10114
3313|351
10672|2185
56970|8464
7375|7046
3075|4088
51377|1475
722|6602
11130|9183
1601|1855
351|4763
6478|10869
2885|6237
51434|1387
409|3312
10165|291
1051|1054
6667|23636
10379|10379
26994|9372
53615|80312
5906|396
57154|2547
11331|11218
7514|9867
7533|1198
2161|22918
7514|9219
3265|8315
10728|2065
149041|7332
1653|1978
8202|1147
408|6093
2023|4643
23512|10397
23236|5591
23291|1020
3309|811
55696|5936
8445|9821
7157|83737
4691|5094
6497|3329
1857|79753
10645|805
79813|83852
1385|1051
3717|5795
5716|3320
23429|9191
10075|1738
3320|1457
3297|5591
4790|4791
6497|79718
864|4851
476|509
10159|23770
6272|54840
51474|55589
1627|667
4976|664
311|7001
4000|4926
9531|3326
808|8717
4869|497661
8312|7248
10933|672
23394|23212
4216|5604
10413|7533
6497|4691
11051|1627
22800|5900
3190|5599
3312|5217
11052|23020
3099|6720
9804|7416
123169|7319
8726|10801
11004|351
8726|1198
56957|27338
472|10444
409|5518
2185|309
29110|3551
4085|6189
6045|7528
7428|6189
847|3295
5609|9479
11124|10196
3912|43
7415|118
5590|842
3485|7018
2064|983
11060|7322
3276|1153
6310|11030
4734|6500
7157|959
7453|7453
28996|28996
5591|1147
6601|7251
5579|5601
1457|7448
23043|23287
54107|351
50|7915
60485|26524
2192|10252
2208|2534
3273|7132
712|714
5599|23411
5156|23759
196|9978
5300|55201
5245|1627
5747|10273
83547|83547
4983|5879
9531|4175
5310|9564
7155|983
5292|6502
4091|1487
3603|3801
51257|57120
79885|10049
695|2782
26270|4830
1457|3065
4067|8517
7412|5518
7818|7067
581|255488
2885|3313
6259|2049
5581|8682
1856|3309
5460|5460
10010|1213
2885|3983
1958|7124
7124|9025
664|7052
3643|8878
1386|10972
7325|9025
4791|6500
7326|10616
10629|27097
8649|5770
148281|8567
10010|9546
10987|1153
1956|92609
310|7157
4790|801
9653|128869
27248|51009
6199|3303
4067|3356
408|1213
8569|79155
23512|3983
5595|6667
3312|7416
4176|4176
2207|665
5879|7410
10075|32
4088|5371
8891|8531
672|8367
8945|994
8726|5879
5496|55696
7428|1291
1017|7415
408|498
998|4294
2118|2629
4792|5610
4952|1213
26270|10808
7124|8829
26272|26272
5914|23512
1365|5566
4211|5090
4609|8878
9572|351
5604|2887
7325|7703
4869|3956
5579|7037
10381|55023
8452|83695
11059|4778
4193|6872
3043|3043
2355|3925
928|961
3299|3297
6045|23020
5970|9131
2317|10540
1432|8841
1785|6453
5499|1454
23512|6045
5603|4216
1020|55083
4086|4853
5536|5930
149428|23557
4087|93649
648|4830
2885|5500
1277|22918
8260|57048
382|5226
7323|4214
207|150684
51377|338
4163|54205
7531|23476
128|351
1029|598
3075|7057
3320|405
1936|1937
7528|1387
6792|23499
3801|91949
6275|331
11124|1650
27|10152
515|7189
51026|5119
29110|26994
522|539
1984|6386
9531|4678
90678|90678
959|335
10600|2353
6883|9913
10856|602
9252|1387
10664|351
5880|8454
9545|351
4088|57680
3396|10476
9618|11059
5693|5683
7322|9025
3661|3843
5058|5879
4627|1601
6241|29945
3476|22948
23126|10459
2782|2534
4665|6602
8841|11331
23481|23481
23054|1387
4609|9968
5170|5604
10419|121504
7186|2081
3476|4282
4193|6597
25898|5429
8767|8517
64219|8078
7159|301
2810|1457
207|3337
5925|3065
1017|539
4292|4728
7375|10075
373|7324
5340|710
1457|9646
1616|4629
54926|396
11091|23309
7327|267
7319|966
5515|3551
4791|5537
5792|8301
1432|994
672|2316
5925|996
4087|6601
7321|4214
8454|55904
1956|808
23414|5928
5515|4215
4194|351
4609|8454
3315|3476
509|514
3661|3815
1499|6500
8751|23636
3066|3301
672|7168
3064|4294
6591|3065
284217|6288
5608|5970
4313|5966
9184|3837
1017|55689
3717|6513
7529|4763
5601|3726
1030|7041
2885|7532
2885|966
4609|7019
29789|3308
3717|5954
1717|3326
2752|204851
4628|4691
10458|10458
6640|128
8841|2874
10131|4089
7917|51548
5058|10174
10114|1616
311|306
6881|6881
1017|2896
7415|81
9531|10174
4729|51079
4792|4792
3066|8359
998|9230
23039|8517
22955|22955
1432|58508
2316|960
6789|11004
1650|6194
79885|3301
4710|9804
10381|2885
25865|4086
4486|7525
6310|3308
4869|2034
3065|9070
80335|11091
3320|26058
7410|23126
1647|4616
3643|3643
4214|387
9577|7157
3516|55031
8440|10458
65018|7052
5724|5747
2309|9181
226|2739
1956|14
2771|302
801|58533
5204|7716
112398|112398
1017|5604
6548|7132
5683|7415
1604|2822
3661|7187
2155|2155
26270|7531
23566|351
5928|6602
1499|10498
1760|5894
10159|387
22985|7532
8021|8021
3082|7448
5594|5213
5062|6194
7879|5245
3635|6464
7703|22955
5460|7026
51701|8454
7184|3309
3065|5929
8452|2730
3672|5771
8398|27430
5530|5520
2931|4077
4846|2202
6386|27284
3845|8945
602|79718
578|7337
3091|6714
989|5966
10808|3306
2023|43
1956|7443
7415|572
54974|51100
26130|22821
7428|6513
1649|1051
1956|27
8726|1788
5580|7037
25865|5774
2355|80204
5976|81542
3958|351
4690|6655
55669|891
11331|6189
3551|8945
3603|7205
11140|8878
54778|7188
9618|1499
3925|5603
1499|4771
825|7273
5496|7919
4214|2317
3643|5771
6794|79155
1457|55145
2274|7157
1432|572
26001|9040
7879|5119
7328|5970
8726|7175
226|6648
3956|26973
7879|9114
55752|7189
3309|5682
5536|10672
2280|1487
51548|3306
1029|3320
9693|3832
6045|801
6733|5930
5501|7187
5701|7514
4216|6711
7124|10928
1201|5591
5518|4869
2010|4000
56957|79155
150684|331
23363|23363
373|5296
81847|7322
4790|71
3845|351
8841|7155
57506|6714
836|9191
7323|2161
5886|5701
6850|2207
3832|79718
3956|2969
23236|6711
55366|71
10105|10277
5518|3312
23411|9611
8850|2547
5747|6714
7528|29844
2321|5335
3717|5782
5501|7171
4609|5601
4000|9031
1387|7157
11034|6280
1540|4646
10253|10252
8878|444
4627|3709
9611|10155
9577|10342
3655|351
1017|16
2885|26999
334|5578
7324|4214
11104|3320
7514|9646
10013|22919
402|23568
27086|7157
28988|8924
2033|9500
4086|7508
387893|5928
