EntrezGeneID1|EntrezGeneID2
4790|79155
26039|6597
57154|3309
5300|81628
1855|8312
10206|396
10577|4864
5604|8837
5310|87
55366|23310
1432|2004
56254|51322
11051|3066
1432|8945
246184|51434
7917|84292
5469|5469
10014|7037
10672|7046
26227|2885
55832|1832
5879|4627
23405|3329
3915|3912
5335|5921
9516|23327
4869|498
2885|2887
1499|5494
6729|6729
8454|6631
153090|8454
7879|57403
7319|1029
118|3398
4627|54822
4771|6895
1017|3398
2885|3329
4734|6189
7157|2648
2734|5966
11060|1605
9113|10413
5747|1605
51160|613
11236|3638
51393|7442
4609|23085
8452|4976
7415|51366
5921|309
5997|2776
5747|4193
3178|2969
14|10076
6045|55759
960|573
648|11171
3654|3315
996|996
1213|4790
4734|7322
10049|10013
2023|3187
26574|1613
10458|55971
2537|351
5566|1385
2885|6764
54984|7430
6303|8525
5566|5705
6210|79084
55759|55759
4851|5664
2932|8517
2549|5829
4778|5195
3661|64750
6714|4133
1020|351
27316|51340
5516|3476
5333|801
6714|5295
5871|6416
4627|302
5130|9025
124583|124583
7322|115426
57154|3622
3265|8036
10014|27316
5914|6477
2040|2040
324|8658
23411|5906
57332|57332
10488|638
4087|23557
6500|26234
7322|23295
10458|55740
7324|11342
5603|7157
1213|409
5599|6464
8452|4722
3064|83737
5300|4303
2885|5930
6045|2317
324|598
1937|4193
81559|7322
10013|22985
25855|351
10013|4615
83706|79753
5595|6548
79791|595
57154|3178
11218|23405
8452|7072
3981|1278
8766|3064
5701|5693
6102|1454
10987|56254
2771|5581
4086|2648
7322|26994
57154|7186
1017|9113
1147|8717
7184|10399
23640|7186
10987|6631
26058|6631
5594|7157
58|5879
4088|3727
1453|1855
208|9545
4086|58533
4670|6636
10987|9097
6809|6809
3667|55023
57154|10188
3643|5580
23560|6189
2132|2132
23020|23020
7415|79058
51366|2932
3958|5781
1191|5444
4651|805
156|5603
7132|9093
1432|5371
11315|204851
4038|25861
4790|5607
6772|3326
5581|6868
4193|57154
6777|351
1969|1213
58517|6625
1147|9043
4292|5887
1831|3065
10987|7186
3065|2969
498|6199
5601|9031
26121|10291
3065|7428
7251|4193
29116|81628
8517|22938
5914|23411
24148|58517
26270|3187
3659|4193
83737|51429
8976|4690
29127|4294
5728|6231
9262|351
6502|997
8517|396
23580|10801
8682|8772
5594|6640
207|23327
5606|9479
29116|7334
23263|6194
2353|351
6789|9218
3801|10540
7013|28988
79654|10892
4869|24148
1956|6850
939|56913
4163|10569
1856|8878
3065|3297
23291|10413
10419|84844
7186|10758
396|637
56652|6613
1017|3146
2081|9097
7186|9994
6050|283
5295|1969
5970|7052
26227|6453
7415|6500
5966|6500
10755|613
23433|57120
4830|983
1616|3276
8737|8517
3309|23636
672|23512
23327|79176
5716|8440
1832|5663
801|6249
10075|3326
10728|7189
1454|5664
4615|4088
9344|5606
4616|983
2771|4691
311|4282
6772|55832
3685|7040
2962|688
23411|4092
3091|613
55294|55294
5467|5970
4851|51434
4214|10049
267|23295
8454|6434
5058|10472
2316|7532
6907|1499
1855|1499
4088|64219
1385|6722
2068|983
1827|7189
4436|8517
5290|6772
7187|329
6934|7248
23411|3309
1856|7126
7046|7040
8737|329
7494|7494
23291|7832
1017|57591
7072|5094
5683|5682
10755|5578
1130|57060
6464|7175
1020|7917
5074|6523
4609|2033
1432|1956
6045|5289
6789|23085
81628|79718
1956|5802
54764|57332
208|7249
8805|57332
7324|10425
7494|2648
5829|102
10397|6231
1956|5604
23512|51747
3688|7414
5747|7132
2309|57708
4163|23020
847|6786
51564|79718
975|4869
79084|6597
2353|5536
1386|306
10987|79791
7189|51135
10987|7001
5914|5469
1278|960
22954|29979
7428|1856
1969|9525
10013|6249
3082|5328
8454|4193
5516|9448
7428|5580
396|1967
5601|6470
196|4094
51257|7328
58517|6426
4609|4609
26270|80267
23390|79654
5108|23392
3661|2308
472|6477
3398|5925
6272|10542
8454|29127
55145|5074
4090|7844
3093|7428
3178|3326
207|3178
2624|6500
6733|27316
26270|6426
8945|55759
5879|10928
2334|4690
58|7187
1017|8531
1386|7416
1017|5094
3655|3915
2908|10013
3065|3326
5663|348
7335|331
672|1634
90678|3297
3925|5568
9101|6778
409|6714
4292|9898
675|2316
578|7416
29110|4670
3315|5898
23368|672
9516|29979
3309|6667
7528|351
4790|8837
2885|51185
7157|6613
10987|3858
5966|801
5295|2033
1054|1017
7321|8239
2683|3728
6733|55832
1785|6386
10572|27
7046|4087
1642|6772
1020|3326
5663|7046
23291|55759
5970|595
2885|835
23580|55752
10956|10488
26270|5705
6772|3654
6714|6778
156|31
8820|9612
10459|51343
1956|7327
1191|11130
8517|51256
7249|5747
498|93974
1739|23095
25932|5966
6498|51592
351|4609
10241|3142
51065|6188
8440|23043
6045|57332
1385|3066
7319|7319
1432|81
4282|54984
7428|9821
11052|4076
23291|1213
4627|8767
6310|55072
57506|6772
5295|3265
5335|6714
405|9978
56829|351
409|5594
11338|6189
1017|7915
3315|6667
2885|6189
5058|5592
150684|5966
3146|3148
3326|7186
7416|7416
55612|51119
4085|4085
328|1642
5300|11338
7375|7046
11130|9183
1601|1855
351|4763
2885|6237
1051|1054
6667|23636
10379|10379
26994|9372
5906|396
11331|11218
3265|8315
10728|2065
408|6093
2335|1655
23512|10397
23291|1020
3309|811
8445|9821
7157|83737
4691|5094
6497|3329
1857|79753
1385|1051
23429|9191
4790|4791
6497|79718
864|4851
10159|23770
51474|55589
4976|664
311|7001
9531|3326
808|8717
4869|497661
8312|7248
4216|5604
10413|7533
6497|4691
22800|5900
